"Metric","Panel","PanelLabel","LevelValue","ParamID","n_reps","mean_diff_ktau_minus_pcp","sd_diff","se_diff","ci95_t_half_width_diff","ci95_t_low_diff","ci95_t_high_diff","ktau_gt_pcp_freq","pcp_gt_ktau_freq"
"ARI","dropout","Dropout",-1,2,10,-0.193484117089375,0.16470904274533,0.0520855726301276,0.117825751203689,-0.311309868293065,-0.0756583658856863,0.1,0.9
"ARI","dropout","Dropout",0,3,10,-0.169541771530704,0.125107852103178,0.0395625765817529,0.0894967659931648,-0.259038537523869,-0.080045005537539,0.1,0.9
"ARI","dropout","Dropout",1,4,10,0.0399496822279712,0.0234051675352243,0.0074013638429138,0.0167430482317231,0.0232066339962481,0.0566927304596943,1,0
"ARI","dropout","Dropout",2,5,10,0.31922076582324,0.155814443032263,0.0492728532332504,0.111462937873102,0.207757827950138,0.430683703696342,1,0
"ARI","dropout","Dropout",3,6,10,0.227590350722328,0.246154408981159,0.077840858847307,0.1760882563998,0.0515020943225289,0.403678607122128,0.6,0.4
"NMI","dropout","Dropout",-1,2,10,-0.152676011763851,0.12428853883199,0.0393034869763371,0.0889106645864669,-0.241586676350318,-0.0637653471773842,0.1,0.9
"NMI","dropout","Dropout",0,3,10,-0.135137803241919,0.0982053003504392,0.031055242740832,0.07025183980861,-0.205389643050529,-0.0648859634333091,0.1,0.9
"NMI","dropout","Dropout",1,4,10,0.0620570579745793,0.0378577521210314,0.011971672379653,0.0270818044243054,0.034975253550274,0.0891388623988847,1,0
"NMI","dropout","Dropout",2,5,10,0.269314557934105,0.115733902612355,0.0365982734755153,0.0827910464886844,0.186523511445421,0.35210560442279,1,0
"NMI","dropout","Dropout",3,6,10,0.186533377353673,0.201936086064777,0.0638577973744484,0.144456373731125,0.0420770036225476,0.330989751084797,0.5,0.5
