r,Method,Weight,Definition,Threshold_values_schematic,Visualization_range,Threshold_display,Source_note
0.01,PCA,0.707106781186548,xi(r) = 1/sqrt(2) (exact sample-covariance reference under the ordered-pair normalization),Q1=0.85; Q2=2.15; Q3=3.45; Q3*=4.15,"r from 0.01 to 5.00; the right boundary is a plotting limit, not a threshold",Threshold symbols label schematic transition locations; no full-height threshold guide lines are shown,"Illustrative distance axis based on the original Figure 2 composition; thresholds are schematic and are not fitted experimental values. Under the ordered-pair normalization, xi(r)=1/sqrt(2) exactly reproduces the usual sample covariance matrix, whereas xi(r)=1/r recovers ordinary K's tau. The latter can exceed the displayed y-range for small r."
0.01,K's tau,100,xi(r) = 1/r,,,,
0.01,Winsor,1,xi(r) = 1 for r <= Q2; Q2/r otherwise,,,,
0.01,Quad,1,xi(r) = 1 for r <= Q2; (Q2/r)^2 otherwise,,,,
0.01,Ball,1,xi(r) = 1 for r <= Q2; 0 otherwise,,,,
0.01,Shell,0,xi(r) = 1 for Q1 <= r <= Q3; 0 otherwise,,,,
0.01,LR,1,xi(r) = 1 for r <= Q2; linear decay to 0 at Q3*,,,,
0.011,PCA,0.707106781186548,,,,,
0.011,K's tau,90.9090909090909,,,,,
0.011,Winsor,1,,,,,
0.011,Quad,1,,,,,
0.011,Ball,1,,,,,
0.011,Shell,0,,,,,
0.011,LR,1,,,,,
0.012,PCA,0.707106781186548,,,,,
0.012,K's tau,83.3333333333333,,,,,
0.012,Winsor,1,,,,,
0.012,Quad,1,,,,,
0.012,Ball,1,,,,,
0.012,Shell,0,,,,,
0.012,LR,1,,,,,
0.013,PCA,0.707106781186548,,,,,
0.013,K's tau,76.9230769230769,,,,,
0.013,Winsor,1,,,,,
0.013,Quad,1,,,,,
0.013,Ball,1,,,,,
0.013,Shell,0,,,,,
0.013,LR,1,,,,,
0.014,PCA,0.707106781186548,,,,,
0.014,K's tau,71.4285714285714,,,,,
0.014,Winsor,1,,,,,
0.014,Quad,1,,,,,
0.014,Ball,1,,,,,
0.014,Shell,0,,,,,
0.014,LR,1,,,,,
0.015,PCA,0.707106781186548,,,,,
0.015,K's tau,66.6666666666667,,,,,
0.015,Winsor,1,,,,,
0.015,Quad,1,,,,,
0.015,Ball,1,,,,,
0.015,Shell,0,,,,,
0.015,LR,1,,,,,
0.016,PCA,0.707106781186548,,,,,
0.016,K's tau,62.5,,,,,
0.016,Winsor,1,,,,,
0.016,Quad,1,,,,,
0.016,Ball,1,,,,,
0.016,Shell,0,,,,,
0.016,LR,1,,,,,
0.017,PCA,0.707106781186548,,,,,
0.017,K's tau,58.8235294117647,,,,,
0.017,Winsor,1,,,,,
0.017,Quad,1,,,,,
0.017,Ball,1,,,,,
0.017,Shell,0,,,,,
0.017,LR,1,,,,,
0.018,PCA,0.707106781186548,,,,,
0.018,K's tau,55.5555555555556,,,,,
0.018,Winsor,1,,,,,
0.018,Quad,1,,,,,
0.018,Ball,1,,,,,
0.018,Shell,0,,,,,
0.018,LR,1,,,,,
0.019,PCA,0.707106781186548,,,,,
0.019,K's tau,52.6315789473684,,,,,
0.019,Winsor,1,,,,,
0.019,Quad,1,,,,,
0.019,Ball,1,,,,,
