Metric,PerturbationCondition,Level,Method,Mean,SD,N
ARI,Dropout midpoint,-1,PcaGrid,0.00549399664363852,0.0086776998605438,10
ARI,Dropout midpoint,-1,PcaHubert,0.676137439734313,0.075560362376526,10
ARI,Dropout midpoint,-1,PCP,0.94213926494943,0.0797320950440721,10
ARI,Dropout midpoint,-1,PCA,0.594689039730654,0.0618339069708357,10
ARI,Dropout midpoint,-1,K's tau,0.748655147860054,0.111056580409469,10
ARI,Dropout midpoint,-1,Winsor,0.656267228119515,0.062631812686583,10
ARI,Dropout midpoint,-1,Quad,0.620328186389532,0.0433901436062279,10
ARI,Dropout midpoint,-1,Ball,0.673282460124886,0.110241403198069,10
ARI,Dropout midpoint,-1,Shell,0.641657376322102,0.0717946816871487,10
ARI,Dropout midpoint,-1,LR,0.660696849489442,0.0563032516086331,10
ARI,Dropout midpoint,0,PcaGrid,0.000919988026011985,0.00279207717577889,10
ARI,Dropout midpoint,0,PcaHubert,0.767793164538293,0.0896490109161779,10
ARI,Dropout midpoint,0,PCP,0.980673357331525,0.00851784048324961,10
ARI,Dropout midpoint,0,PCA,0.627916597008997,0.0666698991138448,10
ARI,Dropout midpoint,0,K's tau,0.811131585800821,0.126589207193476,10
ARI,Dropout midpoint,0,Winsor,0.659261661935161,0.0537650952365523,10
ARI,Dropout midpoint,0,Quad,0.675697166510316,0.0463067608691887,10
ARI,Dropout midpoint,0,Ball,0.789864458198153,0.127005618523165,10
ARI,Dropout midpoint,0,Shell,0.673419265376196,0.0799772110016578,10
ARI,Dropout midpoint,0,LR,0.725892275684586,0.0837540379551211,10
ARI,Dropout midpoint,1,PcaGrid,0.00121307804340695,0.00204063109142157,10
ARI,Dropout midpoint,1,PcaHubert,0.865422696684977,0.0474451317757175,10
ARI,Dropout midpoint,1,PCP,0.848083539299659,0.0491777309685308,10
ARI,Dropout midpoint,1,PCA,0.84312001574771,0.0632377572093676,10
ARI,Dropout midpoint,1,K's tau,0.888033221527631,0.0427931447822076,10
ARI,Dropout midpoint,1,Winsor,0.843500741665654,0.0714849811345529,10
ARI,Dropout midpoint,1,Quad,0.851623389200749,0.0636604124199342,10
ARI,Dropout midpoint,1,Ball,0.869020533135669,0.0574167604562919,10
ARI,Dropout midpoint,1,Shell,0.800509033111523,0.109384438937216,10
ARI,Dropout midpoint,1,LR,0.862931159249026,0.0665554491033647,10
ARI,Dropout midpoint,2,PcaGrid,0.00199506642345312,0.00412811563717233,10
ARI,Dropout midpoint,2,PcaHubert,0.62286172727116,0.134004574344781,10
ARI,Dropout midpoint,2,PCP,0.375680699308764,0.209274314852524,10
ARI,Dropout midpoint,2,PCA,0.667076789192764,0.0810923842120777,10
ARI,Dropout midpoint,2,K's tau,0.694901465132004,0.0709876379955794,10
ARI,Dropout midpoint,2,Winsor,0.679143177900414,0.0748642491984761,10
ARI,Dropout midpoint,2,Quad,0.683052847688429,0.0783594161490607,10
ARI,Dropout midpoint,2,Ball,0.690755314287346,0.0779214842243328,10
ARI,Dropout midpoint,2,Shell,0.676816112614055,0.0810899649334121,10
ARI,Dropout midpoint,2,LR,0.684395536425122,0.074862055096253,10
ARI,Dropout midpoint,3,PcaGrid,1.56157365416129e-05,0.000924225917188118,10
ARI,Dropout midpoint,3,PcaHubert,0.0972021552660783,0.195588269626623,10
ARI,Dropout midpoint,3,PCP,0.00194612422249577,0.00261736164142265,10
ARI,Dropout midpoint,3,PCA,0.187898328620444,0.212065514051028,10
ARI,Dropout midpoint,3,K's tau,0.229536474944824,0.244761616207036,10
ARI,Dropout midpoint,3,Winsor,0.126685912499147,0.175618518542052,10
ARI,Dropout midpoint,3,Quad,0.12355437489305,0.172240207771451,10
ARI,Dropout midpoint,3,Ball,0.150235762764077,0.2006647133819,10
ARI,Dropout midpoint,3,Shell,0.0655968234428433,0.132936187704368,10
ARI,Dropout midpoint,3,LR,0.10585331269111,0.190171015369807,10
NMI,Dropout midpoint,-1,PcaGrid,0.00950060784339497,0.00515075545904704,10
NMI,Dropout midpoint,-1,PcaHubert,0.73231359067929,0.0551310980867042,10
NMI,Dropout midpoint,-1,PCP,0.938214069512037,0.068107529557422,10
NMI,Dropout midpoint,-1,PCA,0.670418478251395,0.0403756432850158,10
NMI,Dropout midpoint,-1,K's tau,0.785538057748186,0.0784034592778755,10
NMI,Dropout midpoint,-1,Winsor,0.70900830589814,0.0348944010772137,10
NMI,Dropout midpoint,-1,Quad,0.691350330620777,0.0285010239148317,10
NMI,Dropout midpoint,-1,Ball,0.736668957786071,0.0763121186694509,10
NMI,Dropout midpoint,-1,Shell,0.713155775441914,0.0456482612356995,10
NMI,Dropout midpoint,-1,LR,0.724858958852545,0.0348982974814923,10
NMI,Dropout midpoint,0,PcaGrid,0.0082818588756527,0.00374428675670184,10
NMI,Dropout midpoint,0,PcaHubert,0.783063710224923,0.0725037882674916,10
NMI,Dropout midpoint,0,PCP,0.960309319185685,0.018851571510032,10
NMI,Dropout midpoint,0,PCA,0.678408104279352,0.0479870589080064,10
NMI,Dropout midpoint,0,K's tau,0.825171515943766,0.100262215030157,10
NMI,Dropout midpoint,0,Winsor,0.7014444688367,0.0448164980656829,10
NMI,Dropout midpoint,0,Quad,0.71849668307799,0.0265666753624544,10
NMI,Dropout midpoint,0,Ball,0.808952004977522,0.0989718255649256,10
NMI,Dropout midpoint,0,Shell,0.721438819157148,0.0605768335980356,10
NMI,Dropout midpoint,0,LR,0.757451453788175,0.0591858842679085,10
NMI,Dropout midpoint,1,PcaGrid,0.00646289226161073,0.00255098840529009,10
NMI,Dropout midpoint,1,PcaHubert,0.776983165319395,0.0682247280003563,10
NMI,Dropout midpoint,1,PCP,0.749710622576876,0.0696938098693675,10
NMI,Dropout midpoint,1,PCA,0.759001875136191,0.067690566544832,10
NMI,Dropout midpoint,1,K's tau,0.811767680551455,0.0646341342556256,10
NMI,Dropout midpoint,1,Winsor,0.771470943442592,0.0766626930520259,10
NMI,Dropout midpoint,1,Quad,0.778497533951427,0.0690570988397005,10
NMI,Dropout midpoint,1,Ball,0.795748577678172,0.0667470586359204,10
NMI,Dropout midpoint,1,Shell,0.748704669761096,0.0841093212829675,10
NMI,Dropout midpoint,1,LR,0.793366749200841,0.0733215445899034,10
NMI,Dropout midpoint,2,PcaGrid,0.00903327487028574,0.00478065683362555,10
NMI,Dropout midpoint,2,PcaHubert,0.512887108232019,0.124146319186156,10
NMI,Dropout midpoint,2,PCP,0.308034283520636,0.17215507987831,10
NMI,Dropout midpoint,2,PCA,0.559489905480074,0.0682065108447478,10
NMI,Dropout midpoint,2,K's tau,0.577348841454741,0.07405425502715,10
NMI,Dropout midpoint,2,Winsor,0.567480554438647,0.065033331118889,10
NMI,Dropout midpoint,2,Quad,0.562628668456809,0.0807001680228076,10
NMI,Dropout midpoint,2,Ball,0.574362918061721,0.0766413722799333,10
NMI,Dropout midpoint,2,Shell,0.564768323642233,0.0697971780123867,10
NMI,Dropout midpoint,2,LR,0.568591254409441,0.0688451766838764,10
NMI,Dropout midpoint,3,PcaGrid,0.00555752082888264,0.00102476546442064,10
NMI,Dropout midpoint,3,PcaHubert,0.0793397170213975,0.163324182224132,10
NMI,Dropout midpoint,3,PCP,0.0029090974661254,0.00172600124140038,10
NMI,Dropout midpoint,3,PCA,0.167619816588395,0.170535542022044,10
NMI,Dropout midpoint,3,K's tau,0.189442474819798,0.200998502512022,10
NMI,Dropout midpoint,3,Winsor,0.108346124912701,0.147747677672169,10
NMI,Dropout midpoint,3,Quad,0.118177610134807,0.158096739131661,10
NMI,Dropout midpoint,3,Ball,0.129909966921622,0.173381498517742,10
NMI,Dropout midpoint,3,Shell,0.0667352074132082,0.12194909413956,10
NMI,Dropout midpoint,3,LR,0.0932369855641135,0.161485050629588,10
ARI,Doublet fraction,2%,PcaGrid,0.00163309971480443,0.003175981555938,10
ARI,Doublet fraction,2%,PcaHubert,0.817107099754557,0.139266383130974,10
ARI,Doublet fraction,2%,PCP,0.953153690688709,0.0866663242616255,10
ARI,Doublet fraction,2%,PCA,0.660395023040222,0.101002915785111,10
ARI,Doublet fraction,2%,K's tau,0.855963850981125,0.140685977377009,10
ARI,Doublet fraction,2%,Winsor,0.667802680981974,0.0641023528902831,10
ARI,Doublet fraction,2%,Quad,0.653287160559473,0.0963163275276151,10
ARI,Doublet fraction,2%,Ball,0.808851683281095,0.132623732582098,10
ARI,Doublet fraction,2%,Shell,0.695025998526744,0.0650555953443926,10
ARI,Doublet fraction,2%,LR,0.739708465863746,0.140765583848527,10
ARI,Doublet fraction,5%,PcaGrid,0.000201521831714533,0.00207948016843015,10
ARI,Doublet fraction,5%,PcaHubert,0.841525932884274,0.106888510160569,10
ARI,Doublet fraction,5%,PCP,0.979491317379763,0.00711499322028064,10
ARI,Doublet fraction,5%,PCA,0.724748411756087,0.0871727402167671,10
ARI,Doublet fraction,5%,K's tau,0.897271447094432,0.100613185108173,10
ARI,Doublet fraction,5%,Winsor,0.724631584297207,0.0692955434973691,10
ARI,Doublet fraction,5%,Quad,0.715847710988073,0.0735768835707542,10
ARI,Doublet fraction,5%,Ball,0.905864611486234,0.0935370746866379,10
ARI,Doublet fraction,5%,Shell,0.703587833836809,0.0707498886339476,10
ARI,Doublet fraction,5%,LR,0.765652278012958,0.145932197238111,10
ARI,Doublet fraction,8%,PcaGrid,0.00126498705108906,0.00233997182214099,10
ARI,Doublet fraction,8%,PcaHubert,0.872655296885894,0.117161282106663,10
ARI,Doublet fraction,8%,PCP,0.980338980146189,0.00597355792222823,10
ARI,Doublet fraction,8%,PCA,0.733152759759207,0.0515089862687211,10
ARI,Doublet fraction,8%,K's tau,0.905213988798389,0.0924594755556073,10
ARI,Doublet fraction,8%,Winsor,0.739044860074389,0.073951735731843,10
ARI,Doublet fraction,8%,Quad,0.719472413952365,0.0588627183534199,10
ARI,Doublet fraction,8%,Ball,0.867364516101907,0.126632313962156,10
ARI,Doublet fraction,8%,Shell,0.717335310922782,0.0584387340303722,10
ARI,Doublet fraction,8%,LR,0.797365940605205,0.123422263378904,10
ARI,Doublet fraction,10%,PcaGrid,0.00185345888913407,0.00405807727916957,10
ARI,Doublet fraction,10%,PcaHubert,0.802153780423386,0.134600052501742,10
ARI,Doublet fraction,10%,PCP,0.966606914708827,0.0277946106024821,10
ARI,Doublet fraction,10%,PCA,0.732715518057319,0.052804481695328,10
ARI,Doublet fraction,10%,K's tau,0.894800822216171,0.0932450839120832,10
ARI,Doublet fraction,10%,Winsor,0.726435369971527,0.0380346232120268,10
ARI,Doublet fraction,10%,Quad,0.731118462159718,0.0466599234455684,10
ARI,Doublet fraction,10%,Ball,0.817007522921328,0.0952519571680317,10
ARI,Doublet fraction,10%,Shell,0.68783388560858,0.0844258313519154,10
ARI,Doublet fraction,10%,LR,0.812093519227418,0.111281128335507,10
ARI,Doublet fraction,15%,PcaGrid,0.00264150830817913,0.00460850214552887,10
ARI,Doublet fraction,15%,PcaHubert,0.906100386961519,0.115022577347884,10
ARI,Doublet fraction,15%,PCP,0.973360515495793,0.00963748769420066,10
ARI,Doublet fraction,15%,PCA,0.813688243007432,0.104087415842758,10
ARI,Doublet fraction,15%,K's tau,0.913606366241997,0.078499247552716,10
ARI,Doublet fraction,15%,Winsor,0.758745193035449,0.124350747636739,10
ARI,Doublet fraction,15%,Quad,0.762653913945966,0.123399779343184,10
ARI,Doublet fraction,15%,Ball,0.88237159329194,0.141357813434891,10
ARI,Doublet fraction,15%,Shell,0.81000642803644,0.115509289279799,10
ARI,Doublet fraction,15%,LR,0.824989615852821,0.153867232017198,10
NMI,Doublet fraction,2%,PcaGrid,0.00835963079863781,0.00340456034955455,10
NMI,Doublet fraction,2%,PcaHubert,0.823380830120967,0.101872761387262,10
NMI,Doublet fraction,2%,PCP,0.93653525909324,0.0716425893507295,10
NMI,Doublet fraction,2%,PCA,0.698565664214451,0.061322339744106,10
NMI,Doublet fraction,2%,K's tau,0.859304720363212,0.104090083005371,10
NMI,Doublet fraction,2%,Winsor,0.707129198995071,0.0429582502313621,10
NMI,Doublet fraction,2%,Quad,0.702887509842358,0.0618231309993559,10
NMI,Doublet fraction,2%,Ball,0.822224823673976,0.101929572017635,10
NMI,Doublet fraction,2%,Shell,0.731966803360013,0.0483526834655551,10
NMI,Doublet fraction,2%,LR,0.767100939734311,0.103412475987832,10
NMI,Doublet fraction,5%,PcaGrid,0.00656400982129345,0.00380997279928344,10
NMI,Doublet fraction,5%,PcaHubert,0.828781387854091,0.0791787164094814,10
NMI,Doublet fraction,5%,PCP,0.955911838059112,0.0155911643350511,10
NMI,Doublet fraction,5%,PCA,0.732843305132014,0.0557895196723663,10
NMI,Doublet fraction,5%,K's tau,0.877570034136829,0.0871800549964464,10
