DatasetName,Method,Metric,Replicate,ClusterRep,ARI,Group,ObservationLevel,Figure6SummaryLevel,ResultStatus
Bhattacherjee,Ball,FULL vs labels,,1,0.243963027479374,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,2,0.270011586134027,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,3,0.251559614521358,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,4,0.296361052006654,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,5,0.253950559765995,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,6,0.249827165444242,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,7,0.244844772043877,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,8,0.228333653708319,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,9,0.256535137902572,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs labels,,10,0.241831178750356,Proposed,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,K's tau,FULL vs labels,,1,0.273011515402734,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,K's tau,FULL vs labels,,2,0.272468816921593,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,K's tau,FULL vs labels,,3,0.244259721533947,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,K's tau,FULL vs labels,,4,0.281214445669075,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
Bhattacherjee,K's tau,FULL vs labels,,5,0.227315728580753,Reference,clustering run,10 clustering runs on one FULL embedding,validated merged formal result; PCP XV corrected
