DatasetName,Replicate,Method,subspace_pc10_mean_cos,Group
Bhattacherjee,1,Ball,0.995167967140188,Proposed
Bhattacherjee,2,Ball,0.995180634434624,Proposed
Bhattacherjee,3,Ball,0.994907130594524,Proposed
Bhattacherjee,4,Ball,0.995229333597686,Proposed
Bhattacherjee,5,Ball,0.993052344217955,Proposed
Bhattacherjee,6,Ball,0.994159806398289,Proposed
Bhattacherjee,7,Ball,0.993362573859225,Proposed
Bhattacherjee,8,Ball,0.990459502081647,Proposed
Bhattacherjee,9,Ball,0.99482213258212,Proposed
Bhattacherjee,10,Ball,0.993457499374799,Proposed
Bhattacherjee,11,Ball,0.99491322273818,Proposed
Bhattacherjee,12,Ball,0.994982624033923,Proposed
Bhattacherjee,13,Ball,0.995521759354173,Proposed
Bhattacherjee,14,Ball,0.994653396492948,Proposed
Bhattacherjee,15,Ball,0.994486692882944,Proposed
Bhattacherjee,16,Ball,0.994769579151632,Proposed
Bhattacherjee,17,Ball,0.992325140466581,Proposed
Bhattacherjee,18,Ball,0.994806999405956,Proposed
Bhattacherjee,19,Ball,0.994733981775939,Proposed
Bhattacherjee,20,Ball,0.993858345508905,Proposed
Bhattacherjee,1,K's tau,0.995722663491176,Reference
Bhattacherjee,2,K's tau,0.995195635701366,Reference
Bhattacherjee,3,K's tau,0.995689505232588,Reference
Bhattacherjee,4,K's tau,0.995644667039654,Reference
Bhattacherjee,5,K's tau,0.995464343760019,Reference
Bhattacherjee,6,K's tau,0.994697208305082,Reference
Bhattacherjee,7,K's tau,0.995409712870455,Reference
Bhattacherjee,8,K's tau,0.995457817963887,Reference
Bhattacherjee,9,K's tau,0.995617162669868,Reference
Bhattacherjee,10,K's tau,0.995624225432389,Reference
Bhattacherjee,11,K's tau,0.995483736016204,Reference
Bhattacherjee,12,K's tau,0.995762995634775,Reference
Bhattacherjee,13,K's tau,0.99580630096997,Reference
Bhattacherjee,14,K's tau,0.995845160238284,Reference
Bhattacherjee,15,K's tau,0.995757535341161,Reference
Bhattacherjee,16,K's tau,0.995790145736247,Reference
Bhattacherjee,17,K's tau,0.994566355457185,Reference
Bhattacherjee,18,K's tau,0.995610532581864,Reference
Bhattacherjee,19,K's tau,0.995167459310119,Reference
Bhattacherjee,20,K's tau,0.994262894861569,Reference
Bhattacherjee,1,LR,0.995212538380166,Proposed
Bhattacherjee,2,LR,0.995188372893055,Proposed
Bhattacherjee,3,LR,0.994981177846108,Proposed
Bhattacherjee,4,LR,0.995229436705665,Proposed
Bhattacherjee,5,LR,0.992982544945222,Proposed
Bhattacherjee,6,LR,0.99416929496318,Proposed
Bhattacherjee,7,LR,0.993316525613185,Proposed
Bhattacherjee,8,LR,0.989712627686375,Proposed
Bhattacherjee,9,LR,0.994809584458903,Proposed
Bhattacherjee,10,LR,0.993471094994176,Proposed
Bhattacherjee,11,LR,0.994900681815966,Proposed
Bhattacherjee,12,LR,0.995018803553664,Proposed
Bhattacherjee,13,LR,0.995548186249549,Proposed
Bhattacherjee,14,LR,0.99455277775805,Proposed
Bhattacherjee,15,LR,0.994492523424272,Proposed
Bhattacherjee,16,LR,0.994852480124051,Proposed
Bhattacherjee,17,LR,0.991981186671655,Proposed
Bhattacherjee,18,LR,0.99474329951801,Proposed
Bhattacherjee,19,LR,0.994776177194487,Proposed
Bhattacherjee,20,LR,0.993235721613091,Proposed
Bhattacherjee,1,PCA,0.995337035474544,Reference
Bhattacherjee,2,PCA,0.995163495308058,Reference
Bhattacherjee,3,PCA,0.995115467399687,Reference
Bhattacherjee,4,PCA,0.995186776757557,Reference
Bhattacherjee,5,PCA,0.993033807376451,Reference
Bhattacherjee,6,PCA,0.994230943334603,Reference
Bhattacherjee,7,PCA,0.993203352188646,Reference
Bhattacherjee,8,PCA,0.98756215564004,Reference
Bhattacherjee,9,PCA,0.994801000830848,Reference
Bhattacherjee,10,PCA,0.993715647268902,Reference
Bhattacherjee,11,PCA,0.99487948466646,Reference
Bhattacherjee,12,PCA,0.99509032189655,Reference
Bhattacherjee,13,PCA,0.995583355303862,Reference
Bhattacherjee,14,PCA,0.994229990551172,Reference
Bhattacherjee,15,PCA,0.994587412262184,Reference
Bhattacherjee,16,PCA,0.995037697862661,Reference
Bhattacherjee,17,PCA,0.991255860308284,Reference
Bhattacherjee,18,PCA,0.994547999800356,Reference
Bhattacherjee,19,PCA,0.994549359217505,Reference
Bhattacherjee,20,PCA,0.989625878641776,Reference
Bhattacherjee,1,PCP,0.994354397185555,Reference
Bhattacherjee,2,PCP,0.993215896566865,Reference
Bhattacherjee,3,PCP,0.993886178922366,Reference
Bhattacherjee,4,PCP,0.994225606000914,Reference
Bhattacherjee,5,PCP,0.993419608065893,Reference
Bhattacherjee,6,PCP,0.994116955584012,Reference
Bhattacherjee,7,PCP,0.994122671699193,Reference
Bhattacherjee,8,PCP,0.992588949472507,Reference
Bhattacherjee,9,PCP,0.993805533731827,Reference
Bhattacherjee,10,PCP,0.993527039264766,Reference
Bhattacherjee,11,PCP,0.994256361038944,Reference
Bhattacherjee,12,PCP,0.993705990592473,Reference
Bhattacherjee,13,PCP,0.993859328454281,Reference
Bhattacherjee,14,PCP,0.99404200733256,Reference
Bhattacherjee,15,PCP,0.994042734814595,Reference
Bhattacherjee,16,PCP,0.993657068023978,Reference
Bhattacherjee,17,PCP,0.993169276417735,Reference
Bhattacherjee,18,PCP,0.994375143729559,Reference
Bhattacherjee,19,PCP,0.993865923172239,Reference
Bhattacherjee,20,PCP,0.993872795492411,Reference
Bhattacherjee,1,PcaGrid,0.331865733197656,Reference
