SettingID,Panel,Cell,Gene,CellType,de_prob,DeFacLoc,BackgroundDropoutMid,InputDesign,MasterCell,MasterGene,Method,MethodLabel,Calibration,Alpha,PC,TimerScope,Threads,CodeVersion,MethodFileMD5,SimulationFileMD5,N,AnalysisGenesMin,AnalysisGenesMedian,AnalysisGenesMax,MeanRuntimeSec,SDRuntimeSec,SERuntimeSec,MedianRuntimeSec,Q25RuntimeSec,Q75RuntimeSec,MinRuntimeSec,MaxRuntimeSec,MedianFitSec,MedianScoreSec,MedianGeometrySec,MedianWeightSec,MedianScatterSec,MedianEigenSec,FigurePanel
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCA,PCA,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,0.1736,0.00230217288664463,0.00102956301409886,0.174,0.173,0.174999999999999,0.17,0.176000000000002,0.171999999999999,0.00200000000000067,,,,,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaGrid,PcaGrid,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,130.5272,1.23429441382516,0.551993242712262,130.426,130.32,131.373,128.649,131.868,130.423,0.00300000000001432,,,,,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PcaHubert,PcaHubert,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.8,0.112365475124702,0.050251368140579,1.782,1.713,1.849,1.689,1.967,1.78,0.00200000000000067,,,,,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,PCP,PCP,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,69.9598,1.91197795489383,0.855062535724725,70.095,69.513,70.102,67.364,72.725,70.093,0.00200000000000955,,,,,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,K's tau,K's tau,none,,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.0414,0.0230499457700013,0.0103082491238813,1.054,1.032,1.057,1.005,1.059,1.052,0.00200000000000067,0.204000000000001,0.651,0.124000000000001,0.072000000000001,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Winsor,Winsor,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.2778,0.0584097594585015,0.0261216385397241,1.288,1.281,1.301,1.181,1.338,1.285,0.00200000000000067,0.206000000000001,0.875999999999999,0.125,0.0730000000000004,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Quad,Quad,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.288,0.0530848377599479,0.0237402611611582,1.27,1.245,1.319,1.241,1.365,1.268,0.00200000000000067,0.203999999999999,0.869,0.123999999999999,0.0730000000000004,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Ball,Ball,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.2462,0.0271237902956058,0.0121301277816847,1.258,1.233,1.264,1.205,1.271,1.256,0.00200000000000067,0.206,0.847,0.124000000000001,0.072000000000001,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,Shell,Shell,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.2836,0.0492473349532744,0.0220240777332446,1.266,1.259,1.297,1.234,1.362,1.264,0.00200000000000067,0.207000000000001,0.869999999999999,0.123999999999999,0.0730000000000004,A_gene_scaling
1,gene_scaling,2000,500,5,0.08,0.1,0,nested_subsets_from_common_3000x3000_splatter_background_mid0,3000,3000,LR,LR,pairwise_empirical_quantile,0.05,20,fit_plus_score_excludes_data_generation_preprocessing; generalized_components_profiled,1,20260712_matched_nested_runtime_v2,a1ac36dc851bac1d124778c1264e783e,a8b31e5a5873e9e0e76423f60140c30b,5,497,497,500,1.3554,0.0185283566459629,0.00828613299434663,1.344,1.343,1.373,1.339,1.378,1.341,0.00300000000000011,0.204000000000001,0.946,0.123000000000001,0.072000000000001,A_gene_scaling
