Method,Dimension,Rating,Figure,Metric,Simulation_mean_value,Simulation_mean_rank,Simulation_n_comparisons,Kmeans_mean_rank,Louvain_mean_rank,Real_data_mean_value,Real_data_mean_rank,Real_data_n_comparisons,Runtime_median_sec,Runtime_max_sec,Runtime_mean_rank,Runtime_n_settings,Major_observation,Why_this_supports_the_rating,Evidence_status,Interpretation_rule
PCA,Doublets / mean shifts,±,Figure 3,GMM PC10 ARI/NMI,0.701799732249124,7.33333333333333,30,,,,,,,,,,GMM mean rank 7.33 across 30 condition-metric comparisons (mean score 0.702).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaGrid,Doublets / mean shifts,-,Figure 3,GMM PC10 ARI/NMI,0.0047934216177108,10,30,,,,,,,,,,GMM mean rank 10.00 across 30 condition-metric comparisons (mean score 0.005).,The '-' symbol records relatively weak performance in the directly assessed summary and does not imply failure under every setting.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PcaHubert,Doublets / mean shifts,+,Figure 3,GMM PC10 ARI/NMI,0.818514647731581,3.2,30,,,,,,,,,,GMM mean rank 3.20 across 30 condition-metric comparisons (mean score 0.819).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
PCP,Doublets / mean shifts,+,Figure 3,GMM PC10 ARI/NMI,0.964489505023453,1,30,,,,,,,,,,GMM mean rank 1.00 across 30 condition-metric comparisons (mean score 0.964).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
K's tau,Doublets / mean shifts,+,Figure 3,GMM PC10 ARI/NMI,0.848596409921664,2.16666666666667,30,,,,,,,,,,GMM mean rank 2.17 across 30 condition-metric comparisons (mean score 0.849).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Winsor,Doublets / mean shifts,±,Figure 3,GMM PC10 ARI/NMI,0.696983489920535,7.53333333333333,30,,,,,,,,,,GMM mean rank 7.53 across 30 condition-metric comparisons (mean score 0.697).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Quad,Doublets / mean shifts,±,Figure 3,GMM PC10 ARI/NMI,0.704321925507655,7.2,30,,,,,,,,,,GMM mean rank 7.20 across 30 condition-metric comparisons (mean score 0.704).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Ball,Doublets / mean shifts,+,Figure 3,GMM PC10 ARI/NMI,0.803379652865388,3.83333333333333,30,,,,,,,,,,GMM mean rank 3.83 across 30 condition-metric comparisons (mean score 0.803).,The '+' symbol records a relatively favorable tendency in the reported summaries; it does not claim universal superiority.,quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
Shell,Doublets / mean shifts,±,Figure 3,GMM PC10 ARI/NMI,0.697301124751098,7.93333333333333,30,,,,,,,,,,GMM mean rank 7.93 across 30 condition-metric comparisons (mean score 0.697).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
LR,Doublets / mean shifts,±,Figure 3,GMM PC10 ARI/NMI,0.766604670444544,4.8,30,,,,,,,,,,GMM mean rank 4.80 across 30 condition-metric comparisons (mean score 0.767).,"The '±' symbol records mixed or condition-dependent evidence; separate simulation, algorithm, and real-data summaries are retained where applicable.",quantitatively derived; qualitative rating curated,+ = relatively favorable; ± = mixed or condition-dependent; - = relatively weak
