PerturbationCondition,Level,Method,MeanARI,SDARI,MeanG,SDG,N
Dropout midpoint,-1,PCA,0.594689039730654,0.0618339069708357,10.5,1.58113883008419,10
Dropout midpoint,-1,PcaGrid,0.00549399664363852,0.0086776998605438,11.2,2.39443799947573,10
Dropout midpoint,-1,PcaHubert,0.676137439734313,0.075560362376526,8,1.49071198499986,10
Dropout midpoint,-1,PCP,0.94213926494943,0.0797320950440721,5.6,0.699205898780101,10
Dropout midpoint,-1,K's tau,0.748655147860054,0.111056580409469,7.6,1.34989711542111,10
Dropout midpoint,-1,Winsor,0.656267228119515,0.062631812686583,9.2,0.788810637746616,10
Dropout midpoint,-1,Quad,0.620328186389532,0.0433901436062279,9.5,0.97182531580755,10
Dropout midpoint,-1,Ball,0.673282460124886,0.110241403198069,8.4,1.57762127549323,10
Dropout midpoint,-1,Shell,0.641657376322102,0.0717946816871487,8.7,1.05934990547138,10
Dropout midpoint,-1,LR,0.660696849489442,0.0563032516086331,8.4,0.843274042711568,10
Dropout midpoint,0,PCA,0.627916597008997,0.0666698991138448,9.3,1.41813649241218,10
Dropout midpoint,0,PcaGrid,0.000919988026011985,0.00279207717577889,12.8,2.5298221281347,10
Dropout midpoint,0,PcaHubert,0.767793164538293,0.0896490109161779,6.7,0.823272602348565,10
Dropout midpoint,0,PCP,0.980673357331525,0.00851784048324961,5,0,10
Dropout midpoint,0,K's tau,0.811131585800821,0.126589207193476,6.4,1.07496769977314,10
Dropout midpoint,0,Winsor,0.659261661935161,0.0537650952365523,8.6,0.966091783079296,10
Dropout midpoint,0,Quad,0.675697166510316,0.0463067608691887,8.1,0.567646212197547,10
Dropout midpoint,0,Ball,0.789864458198153,0.127005618523165,6.6,1.17378779077727,10
Dropout midpoint,0,Shell,0.673419265376196,0.0799772110016578,8,1.63299316185545,10
Dropout midpoint,0,LR,0.725892275684586,0.0837540379551211,7.3,1.15950180872841,10
Dropout midpoint,1,PCA,0.84312001574771,0.0632377572093676,5.6,0.699205898780101,10
Dropout midpoint,1,PcaGrid,0.00121307804340695,0.00204063109142157,12.3,3.05686840482943,10
Dropout midpoint,1,PcaHubert,0.865422696684977,0.0474451317757175,4.6,0.516397779494322,10
Dropout midpoint,1,PCP,0.848083539299659,0.0491777309685308,4.2,0.421637021355784,10
Dropout midpoint,1,K's tau,0.888033221527631,0.0427931447822076,4.8,0.421637021355784,10
Dropout midpoint,1,Winsor,0.843500741665654,0.0714849811345529,5.4,0.966091783079296,10
Dropout midpoint,1,Quad,0.851623389200749,0.0636604124199342,5.3,0.948683298050514,10
Dropout midpoint,1,Ball,0.869020533135669,0.0574167604562919,4.9,0.567646212197547,10
Dropout midpoint,1,Shell,0.800509033111523,0.109384438937216,5.5,1.26929551764398,10
Dropout midpoint,1,LR,0.862931159249026,0.0665554491033647,5.1,0.567646212197547,10
Dropout midpoint,2,PCA,0.667076789192764,0.0810923842120777,4.6,0.516397779494322,10
Dropout midpoint,2,PcaGrid,0.00199506642345312,0.00412811563717233,13.8,1.3984117975602,10
Dropout midpoint,2,PcaHubert,0.62286172727116,0.134004574344781,3.7,0.674948557710553,10
Dropout midpoint,2,PCP,0.375680699308764,0.209274314852524,3.1,0.994428926011753,10
Dropout midpoint,2,K's tau,0.694901465132004,0.0709876379955794,4.1,0.316227766016838,10
Dropout midpoint,2,Winsor,0.679143177900414,0.0748642491984761,4.1,0.316227766016838,10
Dropout midpoint,2,Quad,0.683052847688429,0.0783594161490607,3.9,0.316227766016838,10
Dropout midpoint,2,Ball,0.690755314287346,0.0779214842243328,4.1,0.316227766016838,10
Dropout midpoint,2,Shell,0.676816112614055,0.0810899649334121,4,0,10
Dropout midpoint,2,LR,0.684395536425122,0.074862055096253,4,0,10
Dropout midpoint,3,PCA,0.187898328620444,0.212065514051028,3.8,1.13529242439509,10
Dropout midpoint,3,PcaGrid,1.56157365416129e-05,0.000924225917188118,14.3,1.05934990547138,10
Dropout midpoint,3,PcaHubert,0.0972021552660783,0.195588269626623,2.2,0.788810637746616,10
Dropout midpoint,3,PCP,0.00194612422249577,0.00261736164142265,3.4,1.26491106406735,10
Dropout midpoint,3,K's tau,0.229536474944824,0.244761616207036,2.5,1.26929551764398,10
Dropout midpoint,3,Winsor,0.126685912499147,0.175618518542052,2.8,1.31656117720877,10
Dropout midpoint,3,Quad,0.12355437489305,0.172240207771451,2.9,1.28668393770792,10
Dropout midpoint,3,Ball,0.150235762764077,0.2006647133819,2.7,0.948683298050514,10
Dropout midpoint,3,Shell,0.0655968234428433,0.132936187704368,2.5,0.97182531580755,10
Dropout midpoint,3,LR,0.10585331269111,0.190171015369807,2.5,0.849836585598798,10
Doublet fraction,2%,PCA,0.660395023040222,0.101002915785111,9.7,1.76698110409314,10
Doublet fraction,2%,PcaGrid,0.00163309971480443,0.003175981555938,10.6,4.16866618689693,10
Doublet fraction,2%,PcaHubert,0.817107099754557,0.139266383130974,6.7,1.56702123647242,10
Doublet fraction,2%,PCP,0.953153690688709,0.0866663242616255,5.6,0.843274042711568,10
Doublet fraction,2%,K's tau,0.855963850981125,0.140685977377009,6.5,1.77951304200522,10
Doublet fraction,2%,Winsor,0.667802680981974,0.0641023528902831,9.1,1.19721899973786,10
Doublet fraction,2%,Quad,0.653287160559473,0.0963163275276151,9.3,1.76698110409314,10
Doublet fraction,2%,Ball,0.808851683281095,0.132623732582098,7.1,1.79195734076208,10
Doublet fraction,2%,Shell,0.695025998526744,0.0650555953443926,8.5,1.08012344973464,10
Doublet fraction,2%,LR,0.739708465863746,0.140765583848527,8,1.82574185835055,10
Doublet fraction,5%,PCA,0.724748411756087,0.0871727402167671,9.1,1.10050493461461,10
Doublet fraction,5%,PcaGrid,0.000201521831714533,0.00207948016843015,11,4.18993502999218,10
Doublet fraction,5%,PcaHubert,0.841525932884274,0.106888510160569,7.1,0.994428926011753,10
Doublet fraction,5%,PCP,0.979491317379763,0.00711499322028064,6,0,10
Doublet fraction,5%,K's tau,0.897271447094432,0.100613185108173,7,1.15470053837925,10
Doublet fraction,5%,Winsor,0.724631584297207,0.0692955434973691,8.9,1.28668393770792,10
Doublet fraction,5%,Quad,0.715847710988073,0.0735768835707542,8.9,0.994428926011753,10
Doublet fraction,5%,Ball,0.905864611486234,0.0935370746866379,6.7,0.674948557710553,10
Doublet fraction,5%,Shell,0.703587833836809,0.0707498886339476,8.8,0.918936583472682,10
Doublet fraction,5%,LR,0.765652278012958,0.145932197238111,8.1,1.66332999331662,10
Doublet fraction,8%,PCA,0.733152759759207,0.0515089862687211,8.8,0.788810637746616,10
Doublet fraction,8%,PcaGrid,0.00126498705108906,0.00233997182214099,10.9,5.30094331227943,10
Doublet fraction,8%,PcaHubert,0.872655296885894,0.117161282106663,6.8,0.788810637746616,10
Doublet fraction,8%,PCP,0.980338980146189,0.00597355792222823,6,0,10
Doublet fraction,8%,K's tau,0.905213988798389,0.0924594755556073,7.2,0.918936583472681,10
Doublet fraction,8%,Winsor,0.739044860074389,0.073951735731843,9.1,1.59513148186739,10
Doublet fraction,8%,Quad,0.719472413952365,0.0588627183534199,9.3,1.94650684275419,10
Doublet fraction,8%,Ball,0.867364516101907,0.126632313962156,7.1,1.28668393770792,10
Doublet fraction,8%,Shell,0.717335310922782,0.0584387340303722,8.7,1.15950180872841,10
Doublet fraction,8%,LR,0.797365940605205,0.123422263378904,8.1,1.59513148186739,10
Doublet fraction,10%,PCA,0.732715518057319,0.052804481695328,9,1.24721912892465,10
Doublet fraction,10%,PcaGrid,0.00185345888913407,0.00405807727916957,10.1,3.75499667110372,10
Doublet fraction,10%,PcaHubert,0.802153780423386,0.134600052501742,8,2.35702260395516,10
Doublet fraction,10%,PCP,0.966606914708827,0.0277946106024821,6.4,0.843274042711568,10
Doublet fraction,10%,K's tau,0.894800822216171,0.0932450839120832,7.5,0.849836585598798,10
Doublet fraction,10%,Winsor,0.726435369971527,0.0380346232120268,9.1,0.875595035770913,10
Doublet fraction,10%,Quad,0.731118462159718,0.0466599234455684,9,1.82574185835055,10
Doublet fraction,10%,Ball,0.817007522921328,0.0952519571680317,7.9,0.994428926011753,10
Doublet fraction,10%,Shell,0.68783388560858,0.0844258313519154,9.7,2.35937844922485,10
Doublet fraction,10%,LR,0.812093519227418,0.111281128335507,8.2,1.13529242439509,10
Doublet fraction,15%,PCA,0.813688243007432,0.104087415842758,8.3,1.82878222991269,10
Doublet fraction,15%,PcaGrid,0.00264150830817913,0.00460850214552887,11.1,3.75499667110372,10
Doublet fraction,15%,PcaHubert,0.906100386961519,0.115022577347884,6.9,1.72884033065199,10
Doublet fraction,15%,PCP,0.973360515495793,0.00963748769420066,6.2,0.421637021355784,10
Doublet fraction,15%,K's tau,0.913606366241997,0.078499247552716,7.5,0.97182531580755,10
Doublet fraction,15%,Winsor,0.758745193035449,0.124350747636739,9.1,2.60128173535022,10
Doublet fraction,15%,Quad,0.762653913945966,0.123399779343184,9.4,2.41292814278051,10
Doublet fraction,15%,Ball,0.88237159329194,0.141357813434891,7.6,2.36643191323985,10
Doublet fraction,15%,Shell,0.81000642803644,0.115509289279799,8.5,1.95789002074512,10
Doublet fraction,15%,LR,0.824989615852821,0.153867232017198,8.7,2.83039062871384,10
