Metric,PerturbationCondition,Level,Method,Mean,SD,N
ARI,Dropout midpoint,-1,PCA,0.985295734769157,0.0162478231653944,10
ARI,Dropout midpoint,-1,PcaGrid,0.0242955730872772,0.0669256833708972,10
ARI,Dropout midpoint,-1,PcaHubert,0.807019319326452,0.0920015673625507,10
ARI,Dropout midpoint,-1,PCP,0.994157333387041,0.00317079468760544,10
ARI,Dropout midpoint,-1,K's tau,0.981123056053783,0.0224879387355873,10
ARI,Dropout midpoint,-1,Winsor,0.987622217839287,0.0127427488457343,10
ARI,Dropout midpoint,-1,Quad,0.986748679433859,0.0111266247291112,10
ARI,Dropout midpoint,-1,Ball,0.978616670956847,0.0304525429393954,10
ARI,Dropout midpoint,-1,Shell,0.982364274022379,0.0226226357227349,10
ARI,Dropout midpoint,-1,LR,0.979930483634955,0.0295024775451028,10
ARI,Dropout midpoint,0,PCA,0.692380195927838,0.0347992115259493,10
ARI,Dropout midpoint,0,PcaGrid,0.00336335624139964,0.00281366183762174,10
ARI,Dropout midpoint,0,PcaHubert,0.673553731752479,0.0386069295936552,10
ARI,Dropout midpoint,0,PCP,0.786207721466045,0.102040143274771,10
ARI,Dropout midpoint,0,K's tau,0.685354384024835,0.0368544216666561,10
ARI,Dropout midpoint,0,Winsor,0.693480123692505,0.0342444123710312,10
ARI,Dropout midpoint,0,Quad,0.692476972236892,0.0353373243096893,10
ARI,Dropout midpoint,0,Ball,0.684186599764152,0.0370090194699304,10
ARI,Dropout midpoint,0,Shell,0.682513455323649,0.0435554860206116,10
ARI,Dropout midpoint,0,LR,0.688139397958939,0.0367210245449818,10
ARI,Dropout midpoint,1,PCA,0.424754153678471,0.0785829843183121,10
ARI,Dropout midpoint,1,PcaGrid,0.00161195797533918,0.00158706861967482,10
ARI,Dropout midpoint,1,PcaHubert,0.408998810489635,0.0773896873588326,10
ARI,Dropout midpoint,1,PCP,0.4803420069521,0.0897637840822419,10
ARI,Dropout midpoint,1,K's tau,0.4343416895931,0.0784731356481577,10
ARI,Dropout midpoint,1,Winsor,0.426706653709213,0.0765437199577576,10
ARI,Dropout midpoint,1,Quad,0.426743016557109,0.0758162853212078,10
ARI,Dropout midpoint,1,Ball,0.424280239661961,0.0738729039160892,10
ARI,Dropout midpoint,1,Shell,0.420532660395964,0.0782980814489117,10
ARI,Dropout midpoint,1,LR,0.426093445217243,0.0737448406129406,10
ARI,Dropout midpoint,2,PCA,0.283101318269548,0.0345792693655218,10
ARI,Dropout midpoint,2,PcaGrid,0.00941859953704956,0.00770876203374756,10
ARI,Dropout midpoint,2,PcaHubert,0.26977464730478,0.0368034120551491,10
ARI,Dropout midpoint,2,PCP,0.236718095196752,0.0539937481709645,10
ARI,Dropout midpoint,2,K's tau,0.287705769645855,0.0353515386644972,10
ARI,Dropout midpoint,2,Winsor,0.284934828264378,0.0356527672612766,10
ARI,Dropout midpoint,2,Quad,0.284683999256909,0.0361884691240057,10
ARI,Dropout midpoint,2,Ball,0.282866660853607,0.0375025074144663,10
ARI,Dropout midpoint,2,Shell,0.282045170013921,0.0337752213348398,10
ARI,Dropout midpoint,2,LR,0.284287270819861,0.0346363325495762,10
ARI,Dropout midpoint,3,PCA,0.177500583943238,0.0443747372125829,10
ARI,Dropout midpoint,3,PcaGrid,0.000486249457871263,0.00080284143156753,10
ARI,Dropout midpoint,3,PcaHubert,0.16518688781783,0.0471564891206861,10
ARI,Dropout midpoint,3,PCP,0.0452029190194724,0.0254785211392788,10
ARI,Dropout midpoint,3,K's tau,0.182082798792332,0.0445625703200828,10
ARI,Dropout midpoint,3,Winsor,0.178078685227675,0.0438429045309668,10
ARI,Dropout midpoint,3,Quad,0.178586917845773,0.0428378169364851,10
ARI,Dropout midpoint,3,Ball,0.177458054357976,0.0435843786999475,10
ARI,Dropout midpoint,3,Shell,0.173226285994816,0.0427410414863848,10
ARI,Dropout midpoint,3,LR,0.176348413481474,0.0421086990475419,10
ARI,Doublet fraction,2%,PCA,0.647995612904601,0.0412665206427993,10
ARI,Doublet fraction,2%,PcaGrid,0.00362169930364489,0.00406626039995486,10
ARI,Doublet fraction,2%,PcaHubert,0.643268813157303,0.041911325676643,10
ARI,Doublet fraction,2%,PCP,0.764420068948049,0.0850272710780065,10
ARI,Doublet fraction,2%,K's tau,0.658307707948599,0.0382610370066628,10
ARI,Doublet fraction,2%,Winsor,0.647732151719145,0.0409503237994669,10
ARI,Doublet fraction,2%,Quad,0.649033421394429,0.0396400818770531,10
ARI,Doublet fraction,2%,Ball,0.65144129958703,0.0388945446152847,10
ARI,Doublet fraction,2%,Shell,0.645227181007946,0.0402998928173177,10
ARI,Doublet fraction,2%,LR,0.651058051439499,0.0392263638772999,10
ARI,Doublet fraction,5%,PCA,0.718582208928051,0.0743984013484564,10
ARI,Doublet fraction,5%,PcaGrid,0.00606680690693479,0.00715056375822068,10
ARI,Doublet fraction,5%,PcaHubert,0.7120990963704,0.0812354558018545,10
ARI,Doublet fraction,5%,PCP,0.800974576696985,0.0339497756864471,10
ARI,Doublet fraction,5%,K's tau,0.727150229702617,0.0773956980518473,10
ARI,Doublet fraction,5%,Winsor,0.719343762675826,0.0739160093671402,10
ARI,Doublet fraction,5%,Quad,0.719224094446362,0.0740327564131532,10
ARI,Doublet fraction,5%,Ball,0.720393544848951,0.0771119403763809,10
ARI,Doublet fraction,5%,Shell,0.718508628779923,0.071860157052961,10
ARI,Doublet fraction,5%,LR,0.719606893389953,0.0764513252558772,10
ARI,Doublet fraction,8%,PCA,0.747376673130962,0.114286033384509,10
ARI,Doublet fraction,8%,PcaGrid,0.00446674742391667,0.00532862771015025,10
ARI,Doublet fraction,8%,PcaHubert,0.740226791899811,0.115854922250454,10
ARI,Doublet fraction,8%,PCP,0.832722792447265,0.0289940106944729,10
ARI,Doublet fraction,8%,K's tau,0.752148079935415,0.118220675760292,10
ARI,Doublet fraction,8%,Winsor,0.749302987288337,0.113152034586309,10
ARI,Doublet fraction,8%,Quad,0.750525022813481,0.114071280571667,10
ARI,Doublet fraction,8%,Ball,0.743468716339527,0.117658633435552,10
ARI,Doublet fraction,8%,Shell,0.747503706611087,0.115079336127316,10
ARI,Doublet fraction,8%,LR,0.750183242872246,0.116083634923136,10
ARI,Doublet fraction,10%,PCA,0.753309943653897,0.118291376767065,10
ARI,Doublet fraction,10%,PcaGrid,0.00296036421618415,0.00373704067584259,10
ARI,Doublet fraction,10%,PcaHubert,0.748138108720191,0.115174563132287,10
ARI,Doublet fraction,10%,PCP,0.843416132829847,0.0265649922187608,10
ARI,Doublet fraction,10%,K's tau,0.755578782662925,0.121425358772626,10
ARI,Doublet fraction,10%,Winsor,0.75839061128655,0.118891639563522,10
ARI,Doublet fraction,10%,Quad,0.758246144323091,0.119215452181493,10
ARI,Doublet fraction,10%,Ball,0.753451882794982,0.119590620441713,10
ARI,Doublet fraction,10%,Shell,0.752290128402949,0.118240580439269,10
ARI,Doublet fraction,10%,LR,0.752073850912392,0.118463367111117,10
ARI,Doublet fraction,15%,PCA,0.761396905091093,0.11878208005247,10
ARI,Doublet fraction,15%,PcaGrid,0.00331709278680722,0.00378625949483894,10
ARI,Doublet fraction,15%,PcaHubert,0.740076005269077,0.127945113064348,10
ARI,Doublet fraction,15%,PCP,0.855416344673506,0.0221012245355092,10
ARI,Doublet fraction,15%,K's tau,0.762126094679942,0.123355499962131,10
ARI,Doublet fraction,15%,Winsor,0.766157084137364,0.118583087804213,10
ARI,Doublet fraction,15%,Quad,0.772488460024094,0.117717003596676,10
ARI,Doublet fraction,15%,Ball,0.759184094524652,0.120202129314443,10
ARI,Doublet fraction,15%,Shell,0.766644253002874,0.118660854884923,10
ARI,Doublet fraction,15%,LR,0.765768119993422,0.117897828713114,10
ARI,Shifted-cell fraction,2%,PCA,0.69374931912464,0.0357255969372058,10
ARI,Shifted-cell fraction,2%,PcaGrid,0.00431480836445946,0.0050832858021312,10
ARI,Shifted-cell fraction,2%,PcaHubert,0.671946813870865,0.0387595492665999,10
ARI,Shifted-cell fraction,2%,PCP,0.785482321653642,0.100402109501823,10
ARI,Shifted-cell fraction,2%,K's tau,0.684723969291444,0.0381676170176047,10
ARI,Shifted-cell fraction,2%,Winsor,0.692899626587171,0.0357599501853759,10
ARI,Shifted-cell fraction,2%,Quad,0.69351611210838,0.0364740669968837,10
ARI,Shifted-cell fraction,2%,Ball,0.685009545114378,0.0357553405993371,10
ARI,Shifted-cell fraction,2%,Shell,0.681761994433814,0.0441313818116729,10
ARI,Shifted-cell fraction,2%,LR,0.688506263849854,0.0373453619631739,10
ARI,Shifted-cell fraction,4%,PCA,0.691967279581541,0.0366140977808711,10
ARI,Shifted-cell fraction,4%,PcaGrid,0.00495605111854871,0.00386220245895723,10
ARI,Shifted-cell fraction,4%,PcaHubert,0.672561765248443,0.0353756994893902,10
ARI,Shifted-cell fraction,4%,PCP,0.786286515316442,0.100027171165779,10
ARI,Shifted-cell fraction,4%,K's tau,0.685593629520797,0.037785566152186,10
ARI,Shifted-cell fraction,4%,Winsor,0.692671890419911,0.0359244801205002,10
ARI,Shifted-cell fraction,4%,Quad,0.691650349184438,0.0349026519679977,10
ARI,Shifted-cell fraction,4%,Ball,0.681664077436266,0.0372387597929634,10
ARI,Shifted-cell fraction,4%,Shell,0.682985558086753,0.0425498549120747,10
ARI,Shifted-cell fraction,4%,LR,0.686871299893583,0.036846323029124,10
ARI,Shifted-cell fraction,6%,PCA,0.684495699215091,0.0420436871605474,10
ARI,Shifted-cell fraction,6%,PcaGrid,0.0029387270547888,0.00180838976252265,10
ARI,Shifted-cell fraction,6%,PcaHubert,0.673472670254086,0.0348637187894847,10
ARI,Shifted-cell fraction,6%,PCP,0.785398153182509,0.10128003778433,10
ARI,Shifted-cell fraction,6%,K's tau,0.685831287689974,0.0383062294398661,10
ARI,Shifted-cell fraction,6%,Winsor,0.684446231501608,0.0424861697360623,10
ARI,Shifted-cell fraction,6%,Quad,0.684407077406274,0.0424742246021664,10
ARI,Shifted-cell fraction,6%,Ball,0.685119521942058,0.0384846051803566,10
ARI,Shifted-cell fraction,6%,Shell,0.681770654015173,0.0422365536414125,10
ARI,Shifted-cell fraction,6%,LR,0.687422701569042,0.0377347884915375,10
ARI,Shifted-cell fraction,8%,PCA,0.685451036203999,0.043025416753182,10
ARI,Shifted-cell fraction,8%,PcaGrid,0.00251788186693577,0.00209961838221697,10
ARI,Shifted-cell fraction,8%,PcaHubert,0.673582142320513,0.0358741135153362,10
ARI,Shifted-cell fraction,8%,PCP,0.784782797084561,0.103165622112498,10
ARI,Shifted-cell fraction,8%,K's tau,0.685638919488659,0.0378620730456121,10
ARI,Shifted-cell fraction,8%,Winsor,0.694119448938311,0.0359407240392965,10
ARI,Shifted-cell fraction,8%,Quad,0.694583034275156,0.0365281252445827,10
ARI,Shifted-cell fraction,8%,Ball,0.684889929416381,0.0382457320696894,10
ARI,Shifted-cell fraction,8%,Shell,0.681990932633016,0.0449251086821968,10
ARI,Shifted-cell fraction,8%,LR,0.688153311831495,0.0388466877409216,10
ARI,Shifted-cell fraction,10%,PCA,0.685120333682522,0.0435173425830509,10
ARI,Shifted-cell fraction,10%,PcaGrid,0.00351480582549496,0.00291330157431356,10
ARI,Shifted-cell fraction,10%,PcaHubert,0.671897885650111,0.0346583235208381,10
ARI,Shifted-cell fraction,10%,PCP,0.767559653689474,0.0872605851734107,10
ARI,Shifted-cell fraction,10%,K's tau,0.685635622550817,0.0393856140860698,10
ARI,Shifted-cell fraction,10%,Winsor,0.684647232589493,0.0436465280979052,10
ARI,Shifted-cell fraction,10%,Quad,0.68452881808191,0.0436770574653915,10
ARI,Shifted-cell fraction,10%,Ball,0.683978690876211,0.037161951691916,10
ARI,Shifted-cell fraction,10%,Shell,0.681676033362821,0.0441935570187341,10
ARI,Shifted-cell fraction,10%,LR,0.688070419320378,0.0385983973747853,10
ARI,Shift magnitude,1.5,PCA,0.692187586499838,0.0352798845325831,10
ARI,Shift magnitude,1.5,PcaGrid,0.00249537350833892,0.00266631555415021,10
ARI,Shift magnitude,1.5,PcaHubert,0.673081519907972,0.0361195427712662,10
ARI,Shift magnitude,1.5,PCP,0.786363388999321,0.10197453954926,10
ARI,Shift magnitude,1.5,K's tau,0.685677590483405,0.0368830834406925,10
ARI,Shift magnitude,1.5,Winsor,0.692557164203165,0.0347690685084739,10
ARI,Shift magnitude,1.5,Quad,0.693048515967876,0.0358474488218973,10
ARI,Shift magnitude,1.5,Ball,0.684269337949284,0.0359384899028181,10
ARI,Shift magnitude,1.5,Shell,0.681416993232494,0.0435147530743639,10
ARI,Shift magnitude,1.5,LR,0.687727773199799,0.0369123405066278,10
ARI,Shift magnitude,2,PCA,0.69374931912464,0.0357255969372058,10
ARI,Shift magnitude,2,PcaGrid,0.00431480836445946,0.0050832858021312,10
ARI,Shift magnitude,2,PcaHubert,0.671946813870865,0.0387595492665999,10
ARI,Shift magnitude,2,PCP,0.785482321653642,0.100402109501823,10
ARI,Shift magnitude,2,K's tau,0.684723969291444,0.0381676170176047,10
ARI,Shift magnitude,2,Winsor,0.692899626587171,0.0357599501853759,10
ARI,Shift magnitude,2,Quad,0.69351611210838,0.0364740669968837,10
ARI,Shift magnitude,2,Ball,0.685009545114378,0.0357553405993371,10
ARI,Shift magnitude,2,Shell,0.681761994433814,0.0441313818116729,10
ARI,Shift magnitude,2,LR,0.688506263849854,0.0373453619631739,10
ARI,Shift magnitude,3,PCA,0.692398938653939,0.0363913373329189,10
ARI,Shift magnitude,3,PcaGrid,0.00312432838038421,0.00302022395810477,10
ARI,Shift magnitude,3,PcaHubert,0.670231601064455,0.0378493839118747,10
ARI,Shift magnitude,3,PCP,0.785603275682733,0.0990224811305353,10
ARI,Shift magnitude,3,K's tau,0.682868009196932,0.0383330696540734,10
ARI,Shift magnitude,3,Winsor,0.692831098190912,0.0365943536771071,10
ARI,Shift magnitude,3,Quad,0.692046256500671,0.0363016918005693,10
ARI,Shift magnitude,3,Ball,0.681910022268762,0.0378426315253158,10
ARI,Shift magnitude,3,Shell,0.680727570107494,0.0413873314456261,10
ARI,Shift magnitude,3,LR,0.685368804304585,0.0378641753533611,10
ARI,Shift magnitude,4,PCA,0.691567086918788,0.0360806995799229,10
ARI,Shift magnitude,4,PcaGrid,0.00432444325561569,0.00645864781492606,10
ARI,Shift magnitude,4,PcaHubert,0.670410228002516,0.0381775430051885,10
ARI,Shift magnitude,4,PCP,0.769197766148228,0.0867917237871062,10
ARI,Shift magnitude,4,K's tau,0.683313278171733,0.0385767983357539,10
ARI,Shift magnitude,4,Winsor,0.69101730005767,0.036291932253466,10
ARI,Shift magnitude,4,Quad,0.691310384703956,0.03674239783618,10
ARI,Shift magnitude,4,Ball,0.680947637910261,0.0376052515788562,10
ARI,Shift magnitude,4,Shell,0.679121177339499,0.0419202106463497,10
ARI,Shift magnitude,4,LR,0.685448939269516,0.0385224871511265,10
ARI,Shift magnitude,5,PCA,0.689279047620663,0.0351890128572724,10
ARI,Shift magnitude,5,PcaGrid,0.00375153483388798,0.00299188712271948,10
ARI,Shift magnitude,5,PcaHubert,0.670327992437315,0.037310241121391,10
ARI,Shift magnitude,5,PCP,0.768658251035816,0.0868431238283171,10
ARI,Shift magnitude,5,K's tau,0.683131023599267,0.0361906278333143,10
ARI,Shift magnitude,5,Winsor,0.689528322994611,0.0345645318059924,10
ARI,Shift magnitude,5,Quad,0.689982534879322,0.0343929928548366,10
ARI,Shift magnitude,5,Ball,0.679912415542988,0.036795739214675,10
ARI,Shift magnitude,5,Shell,0.686948339484275,0.035744870784172,10
ARI,Shift magnitude,5,LR,0.685135534102853,0.0360170812505498,10
NMI,Dropout midpoint,-1,PCA,0.980237593289412,0.0152610518115947,10
NMI,Dropout midpoint,-1,PcaGrid,0.025368478656352,0.0600199512788857,10
NMI,Dropout midpoint,-1,PcaHubert,0.818525664386466,0.0908089730505903,10
NMI,Dropout midpoint,-1,PCP,0.989417438161975,0.00389302961092553,10
NMI,Dropout midpoint,-1,K's tau,0.976851386141601,0.0231705022758638,10
NMI,Dropout midpoint,-1,Winsor,0.982305446822134,0.014238953171533,10
NMI,Dropout midpoint,-1,Quad,0.982231545303736,0.0101273289850205,10
NMI,Dropout midpoint,-1,Ball,0.974450969484152,0.030804783990802,10
NMI,Dropout midpoint,-1,Shell,0.977704629387894,0.0239439792366544,10
NMI,Dropout midpoint,-1,LR,0.97528328461329,0.0304578520984882,10
NMI,Dropout midpoint,0,PCA,0.686285507965917,0.0301140014824855,10
NMI,Dropout midpoint,0,PcaGrid,0.00663017328402658,0.00286901344730246,10
NMI,Dropout midpoint,0,PcaHubert,0.671415406275807,0.0298012187544813,10
NMI,Dropout midpoint,0,PCP,0.78745279624104,0.102016761231172,10
NMI,Dropout midpoint,0,K's tau,0.682543556244979,0.0313216289000335,10
NMI,Dropout midpoint,0,Winsor,0.686975186315858,0.0305556195237104,10
NMI,Dropout midpoint,0,Quad,0.686049585991871,0.0311656499934836,10
NMI,Dropout midpoint,0,Ball,0.6799043098909,0.0319309941707472,10
NMI,Dropout midpoint,0,Shell,0.680643810100708,0.0347020102102953,10
NMI,Dropout midpoint,0,LR,0.682258396322681,0.0317819792121769,10
NMI,Dropout midpoint,1,PCA,0.437177930789326,0.0881762579146391,10
NMI,Dropout midpoint,1,PcaGrid,0.00473919928200868,0.00195540456805648,10
NMI,Dropout midpoint,1,PcaHubert,0.41601717268086,0.0859627814409183,10
NMI,Dropout midpoint,1,PCP,0.502401122654843,0.0931301623334502,10
NMI,Dropout midpoint,1,K's tau,0.446498772132602,0.0895544814833666,10
NMI,Dropout midpoint,1,Winsor,0.439236122734841,0.0872351808175275,10
NMI,Dropout midpoint,1,Quad,0.43928915325079,0.0868454359957924,10
NMI,Dropout midpoint,1,Ball,0.435654606898582,0.0858388849801379,10
NMI,Dropout midpoint,1,Shell,0.432076004136938,0.0881028881280104,10
NMI,Dropout midpoint,1,LR,0.439049510659635,0.0857026545760404,10
NMI,Dropout midpoint,2,PCA,0.287369605707327,0.0353052209365525,10
NMI,Dropout midpoint,2,PcaGrid,0.0123517527286845,0.00775397542983789,10
NMI,Dropout midpoint,2,PcaHubert,0.275043826774954,0.0394972630726446,10
NMI,Dropout midpoint,2,PCP,0.230487958007085,0.0521122452016782,10
NMI,Dropout midpoint,2,K's tau,0.291344673492201,0.0346707828640471,10
NMI,Dropout midpoint,2,Winsor,0.288434472527255,0.0360903716197548,10
NMI,Dropout midpoint,2,Quad,0.287877572836929,0.0360802437282897,10
NMI,Dropout midpoint,2,Ball,0.287806820075101,0.0375947057825235,10
NMI,Dropout midpoint,2,Shell,0.288013765898765,0.034598938532005,10
NMI,Dropout midpoint,2,LR,0.289107135114328,0.034647582400489,10
NMI,Dropout midpoint,3,PCA,0.178993450259968,0.0416587421480143,10
NMI,Dropout midpoint,3,PcaGrid,0.00315707823728165,0.000797575199579718,10
NMI,Dropout midpoint,3,PcaHubert,0.165975011800645,0.0453089948589978,10
NMI,Dropout midpoint,3,PCP,0.0471897262614762,0.0241864399795041,10
NMI,Dropout midpoint,3,K's tau,0.182654911606435,0.042306934342788,10
NMI,Dropout midpoint,3,Winsor,0.179770039235979,0.0416144968628676,10
NMI,Dropout midpoint,3,Quad,0.179545333016137,0.0406589011491506,10
NMI,Dropout midpoint,3,Ball,0.178126680413474,0.0419936998070178,10
NMI,Dropout midpoint,3,Shell,0.174884454519168,0.0412285388012451,10
NMI,Dropout midpoint,3,LR,0.176986515068306,0.0408034070095904,10
NMI,Doublet fraction,2%,PCA,0.655353970725983,0.037201138496434,10
NMI,Doublet fraction,2%,PcaGrid,0.00725215496924261,0.00504115562414919,10
NMI,Doublet fraction,2%,PcaHubert,0.643213928551536,0.0463835006789982,10
NMI,Doublet fraction,2%,PCP,0.751203751772018,0.0880249866206229,10
NMI,Doublet fraction,2%,K's tau,0.660998765858571,0.0373691216242735,10
NMI,Doublet fraction,2%,Winsor,0.65501958371458,0.037215975609476,10
NMI,Doublet fraction,2%,Quad,0.655275104787334,0.036851493267884,10
NMI,Doublet fraction,2%,Ball,0.654771517246817,0.0376411914169479,10
NMI,Doublet fraction,2%,Shell,0.651113844943503,0.0374668265541054,10
NMI,Doublet fraction,2%,LR,0.655155712834295,0.0372142289052096,10
NMI,Doublet fraction,5%,PCA,0.687141425049007,0.0681980873205503,10
NMI,Doublet fraction,5%,PcaGrid,0.00918939988978901,0.00720502609174354,10
NMI,Doublet fraction,5%,PcaHubert,0.676547287046892,0.0745514472437758,10
NMI,Doublet fraction,5%,PCP,0.758776914633632,0.0314027816015453,10
NMI,Doublet fraction,5%,K's tau,0.694491509576766,0.0690787358440182,10
NMI,Doublet fraction,5%,Winsor,0.687796660475051,0.0679020990709643,10
NMI,Doublet fraction,5%,Quad,0.6876970266136,0.0687101844552977,10
NMI,Doublet fraction,5%,Ball,0.68866081320353,0.0688721544436889,10
NMI,Doublet fraction,5%,Shell,0.687545722364341,0.0678577589798054,10
NMI,Doublet fraction,5%,LR,0.688143081698052,0.0690880277358492,10
NMI,Doublet fraction,8%,PCA,0.70986514741086,0.102209188717233,10
NMI,Doublet fraction,8%,PcaGrid,0.00760381855840784,0.00531951208968155,10
NMI,Doublet fraction,8%,PcaHubert,0.698334023778392,0.100426672747092,10
NMI,Doublet fraction,8%,PCP,0.787656418553298,0.0306231123212198,10
NMI,Doublet fraction,8%,K's tau,0.714551738556033,0.10489655414666,10
NMI,Doublet fraction,8%,Winsor,0.711670314808519,0.101206172755407,10
NMI,Doublet fraction,8%,Quad,0.71278380978241,0.101495933129714,10
NMI,Doublet fraction,8%,Ball,0.706842377173659,0.103848130998504,10
NMI,Doublet fraction,8%,Shell,0.710077043802947,0.101456254249839,10
NMI,Doublet fraction,8%,LR,0.712296492593723,0.102335604390463,10
NMI,Doublet fraction,10%,PCA,0.716807431735143,0.105564675212781,10
NMI,Doublet fraction,10%,PcaGrid,0.00660777165093418,0.00423777323452952,10
NMI,Doublet fraction,10%,PcaHubert,0.707241387752226,0.105472746561433,10
NMI,Doublet fraction,10%,PCP,0.800531795398673,0.0277958677576526,10
NMI,Doublet fraction,10%,K's tau,0.719748531049249,0.108075556864453,10
NMI,Doublet fraction,10%,Winsor,0.72142393635915,0.106109024876949,10
NMI,Doublet fraction,10%,Quad,0.721868239119649,0.105526811632768,10
NMI,Doublet fraction,10%,Ball,0.717325218456713,0.104758140209281,10
NMI,Doublet fraction,10%,Shell,0.717038059434344,0.103505537401313,10
NMI,Doublet fraction,10%,LR,0.716734008030863,0.103571287794407,10
NMI,Doublet fraction,15%,PCA,0.72548963775668,0.105483401600176,10
NMI,Doublet fraction,15%,PcaGrid,0.00652381297411268,0.00316926325298366,10
NMI,Doublet fraction,15%,PcaHubert,0.701514147702385,0.115244968822222,10
NMI,Doublet fraction,15%,PCP,0.813102533305418,0.0235010328335275,10
NMI,Doublet fraction,15%,K's tau,0.728456414913444,0.108135503977687,10
NMI,Doublet fraction,15%,Winsor,0.730276198305521,0.104694601746179,10
NMI,Doublet fraction,15%,Quad,0.735581956736357,0.103662419241135,10
NMI,Doublet fraction,15%,Ball,0.725067890468084,0.106115473676611,10
NMI,Doublet fraction,15%,Shell,0.731997535474068,0.104738027468644,10
NMI,Doublet fraction,15%,LR,0.731531554861354,0.103958849130119,10
NMI,Shifted-cell fraction,2%,PCA,0.687409108265424,0.0308345627638099,10
NMI,Shifted-cell fraction,2%,PcaGrid,0.00773354853734389,0.00565668504565932,10
NMI,Shifted-cell fraction,2%,PcaHubert,0.671239704717784,0.0309857047658737,10
NMI,Shifted-cell fraction,2%,PCP,0.786713072777335,0.10080999951191,10
NMI,Shifted-cell fraction,2%,K's tau,0.681803438580911,0.0316991953650359,10
NMI,Shifted-cell fraction,2%,Winsor,0.686543638893353,0.031065951107729,10
NMI,Shifted-cell fraction,2%,Quad,0.686973838985809,0.0316598681381842,10
NMI,Shifted-cell fraction,2%,Ball,0.680040975573992,0.0314149624982084,10
NMI,Shifted-cell fraction,2%,Shell,0.679974939420424,0.0350129045706761,10
NMI,Shifted-cell fraction,2%,LR,0.682093387098257,0.0317641517216113,10
NMI,Shifted-cell fraction,4%,PCA,0.68632964091738,0.031409250038605,10
NMI,Shifted-cell fraction,4%,PcaGrid,0.00833600263598494,0.00378108082798137,10
