Metric,PerturbationCondition,Level,Method,Mean,SD,N
ARI,Dropout midpoint,-1,PCA,0.991688207528677,0.00338083597567537,10
ARI,Dropout midpoint,-1,PcaGrid,0.0020498896135188,0.00231587091587634,10
ARI,Dropout midpoint,-1,PcaHubert,0.942166829275714,0.0501985610727813,10
ARI,Dropout midpoint,-1,PCP,0.99299023962414,0.00252370732671896,10
ARI,Dropout midpoint,-1,K's tau,0.993582907420525,0.00235087346800699,10
ARI,Dropout midpoint,-1,Winsor,0.990480958591342,0.00458330348518621,10
ARI,Dropout midpoint,-1,Quad,0.992424136845512,0.00258804335417543,10
ARI,Dropout midpoint,-1,Ball,0.991941997935369,0.00418928791285782,10
ARI,Dropout midpoint,-1,Shell,0.992756483710574,0.00376601688699535,10
ARI,Dropout midpoint,-1,LR,0.992283713226353,0.00311652661752595,10
ARI,Dropout midpoint,0,PCA,0.962173773595816,0.0153595705351112,10
ARI,Dropout midpoint,0,PcaGrid,0.00158566921458942,0.00219747500135876,10
ARI,Dropout midpoint,0,PcaHubert,0.946000861214239,0.0294328937902307,10
ARI,Dropout midpoint,0,PCP,0.946957599905214,0.055877827148048,10
ARI,Dropout midpoint,0,K's tau,0.968614378328956,0.0128865132157175,10
ARI,Dropout midpoint,0,Winsor,0.963097020221695,0.0145564797709146,10
ARI,Dropout midpoint,0,Quad,0.965565723744542,0.0129447949699343,10
ARI,Dropout midpoint,0,Ball,0.965907467344949,0.0142309193672201,10
ARI,Dropout midpoint,0,Shell,0.965148023755569,0.0146277114483275,10
ARI,Dropout midpoint,0,LR,0.96380582657139,0.0160103773544031,10
ARI,Dropout midpoint,1,PCA,0.830876456474148,0.0601507923676979,10
ARI,Dropout midpoint,1,PcaGrid,0.00116370251475798,0.00115937332728139,10
ARI,Dropout midpoint,1,PcaHubert,0.80550680864637,0.0590699376083394,10
ARI,Dropout midpoint,1,PCP,0.695491876606439,0.12853280474248,10
ARI,Dropout midpoint,1,K's tau,0.826990613599237,0.0536185891642938,10
ARI,Dropout midpoint,1,Winsor,0.831418548840817,0.0584202873600752,10
ARI,Dropout midpoint,1,Quad,0.830434795141011,0.0571939916818645,10
ARI,Dropout midpoint,1,Ball,0.81230981455837,0.0612705068774658,10
ARI,Dropout midpoint,1,Shell,0.820883781005559,0.052607163154384,10
ARI,Dropout midpoint,1,LR,0.820573746068238,0.0576891024102943,10
ARI,Dropout midpoint,2,PCA,0.53026002385358,0.155402891766037,10
ARI,Dropout midpoint,2,PcaGrid,0.00406827278738667,0.004704351844392,10
ARI,Dropout midpoint,2,PcaHubert,0.490898858020728,0.153367456326639,10
ARI,Dropout midpoint,2,PCP,0.220733549523018,0.118133849404819,10
ARI,Dropout midpoint,2,K's tau,0.512861511716127,0.142838741598577,10
ARI,Dropout midpoint,2,Winsor,0.541230801519249,0.126215898287389,10
ARI,Dropout midpoint,2,Quad,0.526874776477033,0.139864094887011,10
ARI,Dropout midpoint,2,Ball,0.537762045015349,0.152163991021289,10
ARI,Dropout midpoint,2,Shell,0.530232220535669,0.125229129926863,10
