PerturbationCondition,Level,Method,Mean,SD,Median,Q1,Q3,N
Shifted-cell fraction,2%,PCA,0.991774156249766,0.0110344666446201,0.996089653372611,0.990998178147149,0.997489577393357,10
Shifted-cell fraction,2%,PcaGrid,0.155776814835366,0.113825032682026,0.145483299955451,0.0961391179001031,0.263444107570759,10
Shifted-cell fraction,2%,PcaHubert,0.78381544391294,0.0932919071417129,0.774521670949436,0.712427281736547,0.831192364263062,10
Shifted-cell fraction,2%,PCP,0.997494741813685,0.000963166271693144,0.997601935215392,0.997451900970422,0.998196689460959,10
Shifted-cell fraction,2%,K's tau,0.979850255501061,0.044043187908589,0.996074423641681,0.993286462934257,0.997307667657816,10
Shifted-cell fraction,2%,Winsor,0.991936716780153,0.00601912503301147,0.993699953513491,0.989413377403669,0.996344242676128,10
Shifted-cell fraction,2%,Quad,0.994154015450392,0.00411988368206573,0.995605255627986,0.99324730382741,0.996853608010417,10
Shifted-cell fraction,2%,Ball,0.981853528768261,0.0411096739403478,0.995539561033477,0.991970761451267,0.996682354554464,10
Shifted-cell fraction,2%,Shell,0.99470252062055,0.00443911430067872,0.996144763273468,0.994501476631866,0.997074937894699,10
Shifted-cell fraction,2%,LR,0.993021804254785,0.00572235208059058,0.996193870653831,0.990532856679369,0.996985135610499,10
Shifted-cell fraction,8%,PCA,0.970622084461141,0.0430815381368742,0.985012212916503,0.978801937458389,0.991111190385099,10
Shifted-cell fraction,8%,PcaGrid,0.151895930633042,0.143806680270658,0.0955535275665859,0.0918895105538818,0.192030966981135,10
Shifted-cell fraction,8%,PcaHubert,0.738040643553737,0.118953140576,0.741971049130348,0.638234417547618,0.795603372746896,10
Shifted-cell fraction,8%,PCP,0.990640646772437,0.00666636425740509,0.993034046095067,0.990161091202849,0.994581203782891,10
Shifted-cell fraction,8%,K's tau,0.973550653896233,0.0289921191407582,0.982945851690505,0.97105997576869,0.990026705654994,10
Shifted-cell fraction,8%,Winsor,0.966623002578362,0.0218976426964585,0.97156753222157,0.95415504149177,0.982847327710445,10
Shifted-cell fraction,8%,Quad,0.979998178290943,0.00700628566639734,0.977540196997705,0.975301006767882,0.985698425399836,10
Shifted-cell fraction,8%,Ball,0.980097184252785,0.0147827143729944,0.986701660071968,0.981069544356592,0.987880480293592,10
Shifted-cell fraction,8%,Shell,0.973585792673621,0.0341469613929254,0.984900040156813,0.97665286918574,0.989457857446622,10
Shifted-cell fraction,8%,LR,0.975821851666611,0.0273855753110709,0.985393809431021,0.980630764946077,0.98940159775718,10
Shifted-cell fraction,10%,PCA,0.959370002990268,0.0413976024594826,0.974607696024547,0.965611945320609,0.983640000937248,10
Shifted-cell fraction,10%,PcaGrid,0.194468848110638,0.111202497643538,0.192117086561649,0.122967065627273,0.266125783787149,10
Shifted-cell fraction,10%,PcaHubert,0.759868796897193,0.0784940848694785,0.756249828516741,0.712900513100802,0.798727709169006,10
Shifted-cell fraction,10%,PCP,0.984759915330096,0.0176717123622228,0.990162880696283,0.987962646767646,0.994527489402908,10
Shifted-cell fraction,10%,K's tau,0.961961991352249,0.0387439418427006,0.980718684009837,0.957340740116047,0.985068462035981,10
Shifted-cell fraction,10%,Winsor,0.929733136681921,0.0586072871355995,0.950345835189796,0.935892857336778,0.9669815828681,10
Shifted-cell fraction,10%,Quad,0.941440851691577,0.0534262416741611,0.955472942472229,0.941497565405294,0.970930570864155,10
Shifted-cell fraction,10%,Ball,0.955845084474207,0.0384788053477768,0.973648727466334,0.93278899794443,0.982753829917802,10
Shifted-cell fraction,10%,Shell,0.970126213067887,0.0232998557260538,0.975933478033365,0.968167454818689,0.986337272472147,10
Shifted-cell fraction,10%,LR,0.973287734457184,0.0182671443230942,0.979849616863723,0.965698396610385,0.986333319924517,10
Shifted-cell fraction,4%,PCA,0.991050485174213,0.00365903283275323,0.990048704398564,0.988006995868482,0.994349759466189,10
Shifted-cell fraction,4%,PcaGrid,0.199435424046396,0.113091590685139,0.192345671272558,0.118798473174284,0.282480519182,10
Shifted-cell fraction,4%,PcaHubert,0.793799258488096,0.0915602034294831,0.762024245892496,0.742568513205245,0.817208529242123,10
Shifted-cell fraction,4%,PCP,0.993632783987908,0.00531135168931702,0.994671242164942,0.993822968118995,0.996147457407518,10
Shifted-cell fraction,4%,K's tau,0.985665317659105,0.0142945961955009,0.991388203649819,0.985697399460886,0.994009240018262,10
Shifted-cell fraction,4%,Winsor,0.974916726529418,0.0436088284528153,0.986362424135092,0.983763954314126,0.992248822435124,10
Shifted-cell fraction,4%,Quad,0.984230838746345,0.0202768753568295,0.992464705785837,0.985039076061111,0.994236915129112,10
Shifted-cell fraction,4%,Ball,0.974803176716193,0.0315054105370437,0.988837373866366,0.971735498633685,0.994867182731618,10
Shifted-cell fraction,4%,Shell,0.982505749459419,0.0245525451088102,0.992723857951178,0.992242933396547,0.994107211637989,10
Shifted-cell fraction,4%,LR,0.987413813603392,0.0120977701304653,0.994330210412818,0.984085755744873,0.994770700050771,10
Shifted-cell fraction,6%,PCA,0.983622857913392,0.00633076658973161,0.983571663781956,0.980510616417927,0.987571479754775,10
Shifted-cell fraction,6%,PcaGrid,0.144858864250062,0.129186716773345,0.192939269836227,0.00153524938245475,0.263957606134369,10
Shifted-cell fraction,6%,PcaHubert,0.775055256082039,0.0669865730929918,0.781387956018966,0.728816598894763,0.802532706947585,10
Shifted-cell fraction,6%,PCP,0.989556264841325,0.0142879766488649,0.99424186190966,0.99217914876154,0.995769894154244,10
Shifted-cell fraction,6%,K's tau,0.974958022271804,0.0410070174456802,0.989377588905723,0.982681621663827,0.990856193727043,10
Shifted-cell fraction,6%,Winsor,0.965089167595951,0.0242710319825688,0.971567386361778,0.955117607100166,0.982658877104102,10
Shifted-cell fraction,6%,Quad,0.978246071427596,0.0129134129022632,0.982962177880531,0.977244136851969,0.984352537074782,10
Shifted-cell fraction,6%,Ball,0.96513326289784,0.0336124913981491,0.982789538831451,0.946363055662419,0.989621003354411,10
Shifted-cell fraction,6%,Shell,0.961039594947063,0.0632045162118579,0.986112487127647,0.981102737989574,0.993221173781647,10
