BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PC,AbsoluteCosine
1,1,2,dropout,-1,,,,Ball,1,0.603867941783752
1,1,2,dropout,-1,,,,Ball,2,0.588922215641977
1,1,2,dropout,-1,,,,Ball,3,0.848881425563144
1,1,2,dropout,-1,,,,Ball,4,0.797073042331032
1,1,2,dropout,-1,,,,Ball,5,0.682761865586251
1,1,2,dropout,-1,,,,Ball,6,0.099157630459526
1,1,2,dropout,-1,,,,Ball,7,0.00254369813207419
1,1,2,dropout,-1,,,,Ball,8,0.011372420855104
1,1,2,dropout,-1,,,,Ball,9,0.00441360108477761
1,1,2,dropout,-1,,,,Ball,10,0.00834822629601319
1,1,2,dropout,-1,,,,Ball,11,0.0661782880001113
1,1,2,dropout,-1,,,,Ball,12,0.00369986255808949
1,1,2,dropout,-1,,,,Ball,13,0.0218781462897468
1,1,2,dropout,-1,,,,Ball,14,0.048931885872153
1,1,2,dropout,-1,,,,Ball,15,0.0191154418360624
1,1,2,dropout,-1,,,,Ball,16,0.0642495139358807
1,1,2,dropout,-1,,,,Ball,17,0.0134260425303262
1,1,2,dropout,-1,,,,Ball,18,0.0388653816402975
1,1,2,dropout,-1,,,,Ball,19,0.0703916597875898
1,1,2,dropout,-1,,,,Ball,20,0.016576563146529
1,1,2,dropout,-1,,,,K's tau,1,0.60104310343956
1,1,2,dropout,-1,,,,K's tau,2,0.587744760922493
1,1,2,dropout,-1,,,,K's tau,3,0.851141989189032
1,1,2,dropout,-1,,,,K's tau,4,0.807802678805044
1,1,2,dropout,-1,,,,K's tau,5,0.695348249987519
1,1,2,dropout,-1,,,,K's tau,6,0.0302480856607546
1,1,2,dropout,-1,,,,K's tau,7,0.0291459169382203
1,1,2,dropout,-1,,,,K's tau,8,0.0125440274333664
1,1,2,dropout,-1,,,,K's tau,9,0.0254666238685119
1,1,2,dropout,-1,,,,K's tau,10,0.0479573523937592
1,1,2,dropout,-1,,,,K's tau,11,0.00207308016385233
1,1,2,dropout,-1,,,,K's tau,12,0.00481751101864403
1,1,2,dropout,-1,,,,K's tau,13,0.0517684908296345
1,1,2,dropout,-1,,,,K's tau,14,0.0256827775763325
1,1,2,dropout,-1,,,,K's tau,15,0.0413092907293524
1,1,2,dropout,-1,,,,K's tau,16,0.0253504050418578
1,1,2,dropout,-1,,,,K's tau,17,0.01390084513568
1,1,2,dropout,-1,,,,K's tau,18,0.0271041936795829
1,1,2,dropout,-1,,,,K's tau,19,0.0461137056628902
1,1,2,dropout,-1,,,,K's tau,20,0.0208132069874077
1,1,2,dropout,-1,,,,LR,1,0.630514964441126
1,1,2,dropout,-1,,,,LR,2,0.617048731670892
1,1,2,dropout,-1,,,,LR,3,0.85071301136147
1,1,2,dropout,-1,,,,LR,4,0.797232991749182
1,1,2,dropout,-1,,,,LR,5,0.683867623909952
1,1,2,dropout,-1,,,,LR,6,0.0923560914362874
1,1,2,dropout,-1,,,,LR,7,0.00291655173452259
1,1,2,dropout,-1,,,,LR,8,0.00985252548875862
1,1,2,dropout,-1,,,,LR,9,0.013729674926742
1,1,2,dropout,-1,,,,LR,10,0.0137748145862543
1,1,2,dropout,-1,,,,LR,11,0.068771269376195
1,1,2,dropout,-1,,,,LR,12,0.00271611434119362
1,1,2,dropout,-1,,,,LR,13,0.00418416771724271
1,1,2,dropout,-1,,,,LR,14,0.0461546618500643
1,1,2,dropout,-1,,,,LR,15,0.0104893801692564
1,1,2,dropout,-1,,,,LR,16,0.061952942757899
1,1,2,dropout,-1,,,,LR,17,0.0206897633778864
1,1,2,dropout,-1,,,,LR,18,0.046077075016087
1,1,2,dropout,-1,,,,LR,19,0.0201752991218351
1,1,2,dropout,-1,,,,LR,20,0.0254352019289421
1,1,2,dropout,-1,,,,PCA,1,0.705613015503915
1,1,2,dropout,-1,,,,PCA,2,0.693565920251075
1,1,2,dropout,-1,,,,PCA,3,0.854810207843929
1,1,2,dropout,-1,,,,PCA,4,0.80247665983009
1,1,2,dropout,-1,,,,PCA,5,0.680773649888181
1,1,2,dropout,-1,,,,PCA,6,0.0156697301232794
1,1,2,dropout,-1,,,,PCA,7,0.0337024616100297
1,1,2,dropout,-1,,,,PCA,8,0.0158206693711563
1,1,2,dropout,-1,,,,PCA,9,0.0574755838797424
1,1,2,dropout,-1,,,,PCA,10,0.00888771241160132
1,1,2,dropout,-1,,,,PCA,11,0.0283741699681027
1,1,2,dropout,-1,,,,PCA,12,0.0828933527433572
1,1,2,dropout,-1,,,,PCA,13,0.0289366504476378
1,1,2,dropout,-1,,,,PCA,14,0.0675257263737742
