DatasetName,Method,PC10,PC20
Bhattacherjee,Ball,0.68900055459975,0.669465291235744
Bhattacherjee,K's tau,0.708772596651999,0.663699937933713
Bhattacherjee,LR,0.713201073159999,0.681185011569658
Bhattacherjee,PCA,0.705737101214601,0.67758776772841
Bhattacherjee,PCP,0.599723568806441,0.716000034861387
Bhattacherjee,PcaGrid,0.143775630677474,0.198342733069735
Bhattacherjee,PcaHubert,0.610006124490039,0.671896101466648
Bhattacherjee,Quad,0.707873415280027,0.669916471536876
Bhattacherjee,Shell,0.705494167486147,0.664663717579923
Bhattacherjee,Winsor,0.697047981139765,0.674291881617136
PBMCs,Ball,0.626429570764522,0.696746961948626
PBMCs,K's tau,0.570225176199456,0.525903538522905
PBMCs,LR,0.628364011401513,0.420654888556392
PBMCs,PCA,0.631025055698365,0.426122272808491
PBMCs,PCP,0.646203061229646,0.58808060895201
PBMCs,PcaGrid,0.554022796820506,0.50150010324113
PBMCs,PcaHubert,0.500382809177371,0.688792310970025
PBMCs,Quad,0.598556687128539,0.702458747185711
PBMCs,Shell,0.56211720193052,0.428048916462777
PBMCs,Winsor,0.556285030849497,0.725474570337945
Pancreas,Ball,0.581789066462621,0.710022349982082
Pancreas,K's tau,0.594774002608854,0.676700774554897
Pancreas,LR,0.561739874973275,0.69869894427599
Pancreas,PCA,0.573474481663147,0.683848687976257
Pancreas,PCP,0.60470696969786,0.631128315165895
Pancreas,PcaGrid,0.169185287290662,0.27541520368222
Pancreas,PcaHubert,0.649729584589388,0.693530462353188
Pancreas,Quad,0.590838662710782,0.684497310157624
Pancreas,Shell,0.556041801645047,0.704973318924988
Pancreas,Winsor,0.590228805562268,0.691611331402952
