Dataset,Panel,Outcome,ParamID,Condition,Method,Alpha,Baseline,Value,Delta,Replicates,dropout_mid,doublet_frac,cell_frac,gene_frac,meanlog,sdlog
Simulation 1,a,GMM ARI,1,clean,Ball,0.1,0.789864458198153,0.951191054551426,0.161326596353273,10,,,,,,
Simulation 1,a,GMM ARI,2,dropout,Ball,0.1,0.673282460124886,0.698575307843144,0.025292847718258,10,-1,,,,,
Simulation 1,a,GMM ARI,3,dropout,Ball,0.1,0.789864458198153,0.951191054551426,0.161326596353273,10,0,,,,,
Simulation 1,a,GMM ARI,4,dropout,Ball,0.1,0.869020533135669,0.869681774093623,0.000661240957954057,10,1,,,,,
Simulation 1,a,GMM ARI,5,dropout,Ball,0.1,0.690755314287346,0.660469730267836,-0.0302855840195101,10,2,,,,,
Simulation 1,a,GMM ARI,6,dropout,Ball,0.1,0.150235762764077,0.21047921453119,0.060243451767113,10,3,,,,,
Simulation 1,a,GMM ARI,7,doublet,Ball,0.1,0.808851683281095,0.932725355295534,0.123873672014439,10,,0.02,,,,
Simulation 1,a,GMM ARI,8,doublet,Ball,0.1,0.905864611486234,0.953042654903591,0.047178043417357,10,,0.05,,,,
Simulation 1,a,GMM ARI,9,doublet,Ball,0.1,0.867364516101907,0.93206694644802,0.064702430346113,10,,0.08,,,,
Simulation 1,a,GMM ARI,10,doublet,Ball,0.1,0.817007522921328,0.942061379802656,0.125053856881328,10,,0.1,,,,
Simulation 1,a,GMM ARI,11,doublet,Ball,0.1,0.88237159329194,0.942544595432995,0.0601730021410549,10,,0.15,,,,
Simulation 1,a,GMM ARI,12,shift,Ball,0.1,0.783660826426453,0.921949788126561,0.138288961700108,10,,,0.02,0.1,2,0.3
Simulation 1,a,GMM ARI,13,shift,Ball,0.1,0.762404892592673,0.914872483148819,0.152467590556146,10,,,0.04,0.1,2,0.3
Simulation 1,a,GMM ARI,14,shift,Ball,0.1,0.755351090917123,0.960173818286525,0.204822727369402,10,,,0.06,0.1,2,0.3
Simulation 1,a,GMM ARI,15,shift,Ball,0.1,0.757289780631183,0.913697959569335,0.156408178938152,10,,,0.08,0.1,2,0.3
Simulation 1,a,GMM ARI,16,shift,Ball,0.1,0.797805969798035,0.96261645447597,0.164810484677935,10,,,0.1,0.1,2,0.3
