BaseID,Replicate,Method,Alpha,CellType,Cell,Gene,de_prob,dropout_mid,cell_frac,gene_frac,meanlog,sdlog,doublet_frac,ParamID,TaskIndex,Condition,MasterSeed,CleanSeed,PerturbationSeed,RunMode,NoiseDesign,DeFacLoc,Calibration,RuntimeSec,NCells,InputGenes,AnalysisGenes,DOverN,BaseZeroFraction,ConditionZeroFraction,AddedZeroFractionAllEntries,AddedZeroFractionAmongNonzero,ChangedEntryFraction,ContaminatedCells,ContaminatedCellFraction,ConditionDiagnostic,GroupCountMin,GroupCountMax,GroupCountVector,BackgroundDropoutMid,BackgroundDropoutSeed,BackgroundZeroFraction,DropoutSweepSeed,NoiseDesignDiagnostic,EigenBackend,grid_scale_method,grid_computed_k,grid_orthogonality_error,UniverseP,KeptP,GeneHash,RDS_Path,pcp_lambda,pcp_converged,pcp_iterations,pcp_final_delta,pcp_relative_reconstruction_error,pcp_low_rank_estimate,pcp_sparse_fraction,Q1,Q2,Q3,Q3star,CleanPath,SimilarityPC10,SimilarityPC20,MethodKey,SourceFile,CodeVersion,DoubletDonorDesign,CleanSeedReference,CleanGeneHash,CleanServerPath,LocalPerturbedPath
1,1,Ball,0.05,5,2000,2000,0.08,-1,,,,,,2,2,dropout,12345,13346,13379,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.46599999999989,2000,2000,1994,0.997,0.19942725,0.25682675,0.0573995,0.0716980436818515,0.0573995,0,0,dropout,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,13847,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1994,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_02/BaseID01_ParamID02_rep01_dropout_Ball_alpha005.rds,,,,,,,,54.9166140841145,70.8309703030684,72.732960118318,74.6747881336978,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.459102637459463,0.300259624617871,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,0,,,,,,3,3,dropout,12345,13346,13379,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.40499999999997,2000,2000,1989,0.9945,0.19942725,0.3180205,0.11859325,0.148135506735646,0.11859325,0,0,dropout,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,13847,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1989,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_03/BaseID01_ParamID03_rep01_dropout_Ball_alpha005.rds,,,,,,,,56.3248951777488,69.5915542807845,71.3768080695229,73.2439290844742,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,1,1,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,1,,,,,,4,4,dropout,12345,13346,13379,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.33500000000004,2000,2000,1983,0.9915,0.19942725,0.41822675,0.2187995,0.273303706627536,0.2187995,0,0,dropout,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,13847,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1983,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_04/BaseID01_ParamID04_rep01_dropout_Ball_alpha005.rds,,,,,,,,58.015232612979,67.8828733364829,69.4578132118019,71.3501777313948,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.389770524682583,0.256002285480238,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,2,,,,,,5,5,dropout,12345,13346,13379,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.23700000000008,2000,2000,1982,0.991,0.19942725,0.553031,0.35360375,0.441688466163756,0.35360375,0,0,dropout,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,13847,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1982,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_05/BaseID01_ParamID05_rep01_dropout_Ball_alpha005.rds,,,,,,,,58.5344223547626,67.8083518211224,70.4755001728652,75.0173780353607,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.353345779499207,0.229146902048222,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,3,,,,,,6,6,dropout,12345,13346,13379,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.35099999999966,2000,2000,1966,0.983,0.19942725,0.6975585,0.49813125,0.622218592876163,0.49813125,0,0,dropout,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,13847,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1966,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_06/BaseID01_ParamID06_rep01_dropout_Ball_alpha005.rds,,,,,,,,57.0424087201852,69.3778797544258,73.5763081893319,76.4677462126515,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.274330655931578,0.1969296272905,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,"",13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,,,,,0.02,7,7,doublet,12345,13346,13368,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.30299999999988,2000,2000,1988,0.994,0.19942725,0.31597825,0.11770225,0.147022553540575,0.13290325,40,0.02,doublet,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1988,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_07/BaseID01_ParamID07_rep01_doublet_Ball_alpha005.rds,,,,,,,,54.7215735598169,69.809978585618,71.5468307560684,73.2849340938633,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.966605549531574,0.94828603700175,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,two_unmodified_background_singlets,13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,,,,,0.05,8,8,doublet,12345,13346,13368,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.31799999999998,2000,2000,1988,0.994,0.19942725,0.31259125,0.11623775,0.145193238216015,0.1542575,100,0.05,doublet,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1988,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_08/BaseID01_ParamID08_rep01_doublet_Ball_alpha005.rds,,,,,,,,52.372923180463,70.3133845535544,72.0935873401065,73.8594511168401,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.905314007994153,0.885484666071728,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,two_unmodified_background_singlets,13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,,,,,0.08,9,9,doublet,12345,13346,13368,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.41300000000001,2000,2000,1987,0.9935,0.19942725,0.3091255,0.11466,0.143222461668849,0.175718,160,0.08,doublet,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1987,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_09/BaseID01_ParamID09_rep01_doublet_Ball_alpha005.rds,,,,,,,,51.2486101998719,70.6802898818372,72.4219494115873,74.1204602549225,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.857733138526586,0.865977419407407,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,two_unmodified_background_singlets,13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,,,,,0.1,10,10,doublet,12345,13346,13368,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.25299999999993,2000,2000,1987,0.9935,0.19942725,0.306957,0.11370275,0.142026755219935,0.1899795,200,0.1,doublet,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1987,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_10/BaseID01_ParamID10_rep01_doublet_Ball_alpha005.rds,,,,,,,,50.6581770974541,71.0513867382162,72.801162074412,74.4405005636239,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.824533259934396,0.825343617494352,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,two_unmodified_background_singlets,13346,9ec1206ea89bee14cd9983cd62464cb0,,
1,1,Ball,0.05,5,2000,2000,0.08,,,,,,0.15,11,11,doublet,12345,13346,13368,perturbed,background_dropout_mid0,0.1,pairwise_empirical_quantile,1.85399999999981,2000,2000,1987,0.9935,0.19942725,0.30178925,0.11150025,0.139275599875214,0.2256565,300,0.15,doublet,139,656,1:139;2:255;3:423;4:527;5:656,0,13847,0.3180205,,background_dropout_mid0,RSpectra::eigs_sym,"",,,2000,1987,9ec1206ea89bee14cd9983cd62464cb0,formal/simulation2_perturbed/task_11/BaseID01_ParamID11_rep01_doublet_Ball_alpha005.rds,,,,,,,,48.6031598635451,71.8522298124007,73.6053291974244,75.259225717455,formal/simulation2_clean_reference/task_01/BaseID01_ParamID01_rep01_clean_Ball_alpha005.rds,0.768126147097788,0.748461433451603,Ball,results/simulation2/simulation2_background_similarity_long.csv,20260620_doublet_unmodified_singlet_donors,two_unmodified_background_singlets,13346,9ec1206ea89bee14cd9983cd62464cb0,,
