"package","installed","version"
"data.table",TRUE,"1.17.8"
"ggplot2",TRUE,"4.0.0"
"patchwork",TRUE,"1.3.2"
"svglite",TRUE,"2.2.2"
"rsvg",TRUE,"2.7.0"
"ragg",TRUE,"1.5.0"
"ggrepel",TRUE,"0.9.6"
"scales",TRUE,"1.4.0"
"splatter",TRUE,"1.32.0"
"SummarizedExperiment",TRUE,"1.38.1"
"mclust",TRUE,"6.1.2"
"aricode",TRUE,"1.0.3"
"scran",TRUE,"1.36.0"
"igraph",TRUE,"2.2.1"
"rrcov",TRUE,"1.7.7"
"rpca",TRUE,"0.2.3"
"RSpectra",TRUE,"0.16.2"
"Matrix",TRUE,"1.7.4"
"dplyr",TRUE,"1.1.4"
"tidyr",TRUE,"1.3.1"
"readxl",TRUE,"1.4.5"
"digest",TRUE,"0.6.37"
"future",TRUE,"1.67.0"
"future.apply",TRUE,"1.20.0"
"RhpcBLASctl",TRUE,"0.23.42"
"SingleCellExperiment",TRUE,"1.30.1"
