"Package","Version","Priority","Built"
"abind","1.4-8",,"4.4.1"
"aricode","1.0.3",,"4.4.1"
"askpass","1.2.1",,"4.4.1"
"assertthat","0.2.1",,"4.4.1"
"assorthead","1.0.1",,"4.4.1"
"backports","1.5.0",,"4.4.1"
"base","4.4.1","base","4.4.1"
"base64enc","0.1-3",,"4.4.1"
"beachmat","2.22.0",,"4.4.1"
"beeswarm","0.4.0",,"4.4.1"
"BH","1.84.0-0",,"4.4.1"
"Biobase","2.66.0",,"4.4.1"
"BiocGenerics","0.52.0",,"4.4.1"
"BiocManager","1.30.27",,"4.4.1"
"BiocNeighbors","2.0.1",,"4.4.1"
"BiocParallel","1.40.2",,"4.4.1"
"BiocSingular","1.22.0",,"4.4.1"
"BiocVersion","3.20.0",,"4.4.1"
"bit","4.5.0",,"4.4.1"
"bit64","4.5.2",,"4.4.1"
"bitops","1.0-9",,"4.4.1"
"blob","1.2.4",,"4.4.1"
"bluster","1.16.0",,"4.4.1"
"boot","1.3-31","recommended","4.4.1"
"brew","1.0-10",,"4.4.1"
"brio","1.1.5",,"4.4.1"
"broom","1.0.7",,"4.4.1"
"bslib","0.8.0",,"4.4.1"
"cachem","1.1.0",,"4.4.1"
"callr","3.7.6",,"4.4.1"
"caret","6.0-94",,"4.4.1"
"caTools","1.18.3",,"4.4.1"
"cellranger","1.1.0",,"4.4.1"
"checkmate","2.3.3",,"4.4.1"
"class","7.3-22","recommended","4.4.1"
"cli","3.6.3",,"4.4.1"
"clipr","0.8.0",,"4.4.1"
"clock","0.7.1",,"4.4.1"
"cluster","2.1.6","recommended","4.4.1"
"clusternor","0.0-4",,"4.4.1"
"codetools","0.2-20","recommended","4.4.1"
"colorspace","2.1-1",,"4.4.1"
"commonmark","1.9.2",,"4.4.1"
"compiler","4.4.1","base","4.4.1"
"conflicted","1.2.0",,"4.4.1"
"cowplot","1.1.3",,"4.4.1"
"cpp11","0.5.0",,"4.4.1"
"crayon","1.5.3",,"4.4.1"
